,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
1-Dodecanol, 0.0875684857,-0.5291156349,-0.8267004267,-0.8072793381,-0.4113132196,-0.7680823951,-0.4049227474,-0.0544572894,-0.3057166574,-0.4385074582,-0.4328603415,-0.1815755059,-0.3751561498,-0.4270077222,-0.5332187495,-0.3628480324,-0.4313800854,-0.4749151012,-0.4193698588
1-Dodecene,-0.176017828,-0.178153764,-0.174022435,-0.175720666,-0.174993564,-0.178448740,-0.174546697,-0.179929625,-0.172132108,-0.174503472,-0.172586554,-0.168069793,-0.173494806,-0.175165944,-0.177949462,-0.176945726,-0.177525105,-0.176468069,-0.177350691
1-Hexacosene,-0.576704899,-0.576747179,-0.479857197,-0.576699017,-0.566357897,-0.178582656,-0.576675779, 7.466921183,-0.576627983,-0.575292674,-0.199869081,-0.576547570, 4.906519270,-0.378786078,-0.153405073,-0.576723267,-0.576734735,-0.402889664, 0.814231409
1-Hexadecanol, 0.260834773,-0.340817646,-0.162123453,-0.097480664,-0.683077937, 0.201253689,-0.097096760, 0.053541740,-0.175022570,-0.312551297,-0.072210694, 0.258373082,-0.210725513,-0.283313004,-0.197346246,-0.047882502,-0.207131588,-0.313663252,-0.266648396
1-Hexanol,-0.48656204,-0.48905492,-0.48423319,-0.48621522,-0.48536661,-0.48939919,-0.48484506,-0.49112755,-0.48202696, 0.25022821, 0.39946075,-0.47728578,-0.48361739,-0.48556779,-0.48881647,-0.48764500,-0.48832120, 0.82418165,-0.48811764
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)", 0.896812312, 0.838884839, 0.031108348, 0.097096311, 1.783686989,-0.025419417, 0.507899277, 0.288076150,-0.249111574, 1.282171494, 1.646745010, 0.453485471, 2.007932617, 2.013296798, 1.307599856, 0.346825219, 1.183956688, 0.961308090, 0.945977434
"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3alpha,4abeta,6aalpha,10abeta,10balpha)]-",-0.397106424,-0.406550296,-0.388283947,-0.395792543,-0.392577721,-0.407854512,-0.390601931, 3.375819831,-0.379926014,-0.390410818,-0.381935314,-0.361964804,-0.385951078,-0.393339885,-0.405646993,-0.401209050,-0.403770729,-0.399097127,-0.402999571
1-Methyl-4-hydroxy-1H-imidazol-2-amine,-0.56249058, 0.17594556,-0.56183779,-0.07118308, 8.88852834,-0.52895019,-0.35036882, 0.08158473, 0.40801604, 0.30733563,-0.50091714,-0.36310646,-0.47579196,-0.12384230,-0.53148051, 0.35758067,-0.43217591,-0.01306287, 0.12036875
1-Monomyristin,-0.237187318,-0.239960080,-0.234597000,-0.236801557,-0.235857671,-0.240343004,-0.235277571,-0.242265412,-0.232143074,-0.235221459,-0.232733014,-0.226869585,-0.233912060,-0.236081446,-0.239694866,-0.238391867,-0.239143987,-0.237771797,-0.238917572
1-Monopalmitin,-0.2296619670,-0.2348798948,-0.2247873719,-0.2289360216,-0.2271597682,-0.2356005001,-0.2260681047,-0.2392181878,-0.2201694471,-0.2259625108,-0.2212796253,-0.2102455202,-0.2234984152,-0.2275808789,-0.2343808017,-0.2319287498,-0.2333441287,-0.2307618702,-0.2329180480
1-Octadecanol, 0.5472928459,-0.2748177292,-0.1693801148,-0.1753655630,-0.0673162029,-0.1605714857,-0.1497385506, 0.3299513835, 0.1350819950,-0.1953822142,-0.1952355861, 0.1085462265,-0.1417606635,-0.2145543254,-0.2593727558,-0.1077262172,-0.1806534674,-0.2410831857,-0.1883000856
1-Octanol, 0.6544788773,-0.1655060881,-0.0905812066,-0.5988468713,-0.5987336439,-0.5992716989,-0.1233022815, 0.3906820675,-0.5982880453,-0.0620678059, 0.0754285519, 0.4150411347,-0.5985002507,-0.1157262961,-0.2003093478,-0.5990376430,-0.1866008712,-0.0734876507,-0.0296429756
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",-0.26913404,-0.27021490,-0.26812429, 3.13776675,-0.26861572,-0.27036417,-0.26838959,-0.27111355,-0.22703145,-0.26836771, 4.65301792, 3.12399507,-0.26785729,-0.26870295,-0.27011151,-0.26960359,-0.26989677,-0.26936187, 3.32413641
"1-Propanamine, N,N-diethyl-", 0.984168132,-0.123777137,-0.270761065,-0.350428060, 0.255280601,-0.421337454,-0.080053308, 0.457319172, 0.368529673, 0.186974036, 0.057719182, 0.483464770, 0.035717134, 0.176833808,-0.041637442,-0.270455090, 0.202758776,-0.020905448, 0.150067042
1-Tetracosene,-0.563578720,-0.563605625, 0.069091773,-0.203500789, 0.830255296,-0.126389295,-0.563560189, 1.043663160, 0.473109583,-0.397758322,-0.530632130, 5.462534805, 0.173390656, 0.080595360,-0.563603052,-0.384776342,-0.563597707,-0.563584392,-0.563595510
1-Tetradecanol, 0.498516597,-0.362182072,-0.042363681,-0.012778791,-0.222972318,-0.159757125,-0.264107170, 0.352690718,-0.024345921,-0.680615371,-0.253200489, 0.065973218,-0.219068373,-0.186077647,-0.353897280,-0.099341586,-0.176697771,-0.691189051,-0.255648040
"2',2,3,6'-Tetramethoxychalcone",-0.42140358,-0.42228414, 5.15912437, 0.69039923,-0.42098131,-0.42240574,-0.42079709,-0.42301625,-0.41980165,-0.42077927,-0.41998900,-0.41812692, 0.95611638,-0.42105238,-0.42219991,-0.42178611,-0.42202496,-0.42158919,-0.42195306
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate", 0.7134368027,-0.4009830403,-0.1060765969,-0.0825281867,-0.2087607255,-0.1911634974,-0.1933230695, 0.4724993728, 0.0792285444,-0.2106678866,-0.2143286903, 0.2753947236,-0.0351409013,-0.1520268439,-0.4030681706,-0.0866240530,-0.1726668558,-0.3368841479,-0.1322023984
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-0.87870939,-0.28949191,-0.64352082,-0.23502373, 0.18776349,-0.76923819,-0.87313928,-0.24476844,-0.59192657,-0.37764133,-0.83373935,-0.41621749,-0.83025492,-0.39210494,-0.74023469,-0.66046540,-0.46462591,-0.55567353,-0.56730925
"2,3,4-Trihydroxybutyric acid", 3.5481934950, 3.0909505251, 0.9739174908,-0.8097273806, 2.1159032040, 0.0935067841, 0.0007048033, 2.8087360109, 1.0590145179, 1.0528646518, 1.3047917127, 0.6571182762, 0.2473268410,-0.3151295670, 0.2395527816, 1.0430101932, 0.7315434873, 0.2564227721,-0.0925029747
"2,3-Butanediol", 0.182239434,-0.279288627,-0.185417444,-0.264536994,-0.187641958,-0.092795179, 0.013970900,-0.033520862,-0.322135376,-0.244156545, 0.155536921,-0.081683389,-0.203058828,-0.176177983,-0.132727237,-0.164304466, 0.085494644,-0.187312630,-0.214372953
"2,3-Dihydroxy-2-methylpropanoic acid", 0.48172132, 0.96436846,-0.71101046,-0.71284486,-0.71205946,-0.71579168,-0.71157676,-0.71739131,-0.10165637,-0.14223181,-0.54573414,-0.70458050, 1.22758032, 3.19981778, 2.52693379,-0.71416815,-0.36033731,-0.71365219, 0.03726586
"2,3-Dihydroxypropyl icosanoate",-0.15475033,-0.15560455,-0.15395232,-0.15463149,-0.15434070,-0.15572252,-0.15416199,-0.15631477,-0.15319632,-0.15414470,-0.15337807,-0.15157169,-0.15374131,-0.15440964,-0.15552285,-0.15512142,-0.15535313,-0.15493040,-0.12820226
"2,4,6-Tris(1,1-dimethylethyl)-4-methylcyclohexa-2,5-dien-1-one",-0.2310032362,-0.2377855158,-0.2246672216,-0.2300596501,-0.2277508700,-0.2387221609,-0.2263319223,-0.2434244432,-0.2186648280,-0.2261946710,-0.2201078412,-0.2057656754,-0.2229918315,-0.2282982312,-0.2371367930,-0.2339496079,-0.2357893220,-0.2324328940,-0.2352355010
"2,4-Di-tert-butylphenol",-0.292244638, 0.002322944,-0.115612337,-0.292067083, 0.287519875,-0.293697112,-0.291365635, 0.256213746,-0.289922915,-0.291339809,-0.290194447,-0.287495675,-0.290737129,-0.012596544,-0.293398793, 0.438969601,-0.293145238, 0.124680567, 0.166664657
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)", 1.4566327828,-0.2560927498,-0.1012993936,-0.2022039464,-0.2203511313,-0.1890174673,-0.2783387880,-0.0231124389,-0.1526550610,-0.1948733600,-0.2051675124,-0.0589933713,-0.1600321472,-0.0930381616,-0.3053400228,-0.0699494054,-0.2868114878,-0.2505021205,-0.2380136399
"2,5-Dimethoxybenzhydrazide", 3.71410748,-0.05613836, 0.73120793,-1.26151135, 0.32340303, 0.51488705, 0.06063378,-0.11737348, 0.09987756,-0.53534756, 1.27749667,-0.48248140, 0.21194554,-0.26716390, 0.01687720, 0.60382965, 0.18718449, 0.33114447, 0.50633432
"2,5-Dimethoxymandelic acid",-0.929960972, 4.275433520, 2.032278683, 1.380415575,-0.925754341, 0.751086203,-0.923919066, 3.307918692,-0.914002399,-0.923741544, 1.249485053,-0.897318556,-0.919598972,-0.926462302,-0.937894152,-0.933771827, 0.563723241,-0.931810100,-0.935435009
"2,5-Dimethoxyphenol", 3.46438604,-0.33621962,-0.18677533,-0.32651402,-0.31176850,-0.34515757,-0.29446594, 0.82258977,-0.03139080,-0.16579658, 0.24753253, 0.34102906,-0.27003806,-0.54038534,-0.31477369,-0.01515288,-0.19950774,-0.07634251,-0.23992607
"2,5-Di-tert-butyl-4-hydroxyphenol", 2.31817783,-0.39815179,-0.16246359,-0.20174666,-0.30417971,-0.35399792,-0.26477530, 0.05556677,-0.15150205,-0.33916090,-0.25216161,-0.07209879,-0.39765794,-0.44174421,-0.40350036,-0.13352765,-0.39374713,-0.29461051,-0.28848193
"2,6-Di-O-methyl-d-galactopyranose",-0.524592130,-0.484288271,-0.524418908,-0.524566333, 2.081794764,-0.524803160,-0.524464419, 0.196108390, 0.758732088,-0.524460667,-0.517566646,-0.523902151,-0.524373103,-0.524518177,-0.501396524, 2.153149470,-0.524722979,-0.524631216,-0.524707837
"2-Allyl-1,4-dimethoxybenzene ", 2.168564420,-0.530733854, 0.158911916,-0.526196048,-0.427706224,-0.039626254,-0.072150116, 2.631645957, 0.455749116, 0.126407395, 0.483647044, 0.581766893,-0.260218105,-0.682973216,-0.298217753, 0.237674064, 0.204744583,-0.136228488,-0.434305123
2-Amino-4-tert-butylphenol, 1.127422964,-0.504902904,-0.432830530,-0.504863240,-0.504851387,-0.491340041,-0.504844102,-0.504931854,-0.504804739,-0.504843397,-0.076071232,-0.504738515,-0.504826954,-0.504854197,-0.504899574,-0.504883211,-0.005679156, 0.884846921, 0.559197171
2-Aminoadipic acid, 0.04699859, 0.60286359, 0.72243869, 1.18288052,-0.47942256,-0.01122659, 0.11462135,-0.85493157,-0.43896308, 0.24761649, 0.15240839, 0.98021900, 0.57208260, 0.45094010, 0.32850472, 0.66867157, 1.19938593,-0.09220633, 0.24824736
2-Aminobutanoic acid, 0.740920959, 8.119244993, 0.374105831,-0.413263749,-0.403018207,-0.437783429, 0.295334327,-0.814750207,-0.005310933, 0.006364198,-0.181292197, 0.245354060,-0.107268987,-0.425557306,-0.440258149, 0.300263348, 0.337604229,-0.811110040,-0.377487556
2-Butenedioic acid, 0.400608963, 0.261841963,-0.346910840,-0.182373537,-0.137073192,-0.639514487, 0.330099924, 0.439122262, 0.364230845, 0.632570917, 0.003675651, 0.829223084, 0.366049416, 1.179530713,-0.372110217, 1.048614076, 0.848651963,-0.009924416, 0.073014220
"2-Butenoic acid, 2-hydroxy-",-0.499641841,-0.502084711, 2.316038658,-0.499301976,-0.498470390,-0.502422076, 0.596839533,-0.504115764,-0.495197740,-0.497909871,-0.495717491,-0.490551669,-0.496756259,-0.498667541,-0.501851051,-0.500703077,-0.501365714,-0.500156781, 0.780588238
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester", 0.76621374,-0.24302392,-0.11115575,-0.28254059,-0.06214269,-0.21011452,-0.16586924, 0.47002344, 0.09732452,-0.71379757, 0.02950411, 0.37436740, 0.05184276,-0.03300027,-0.25346842, 0.03423447,-0.38633596,-0.13710615,-0.11152830
2'-Deoxyribolactone, 0.157648855,-0.267213281,-0.281019300,-0.555642987, 1.357728615,-0.989428479,-0.154128018, 0.891008663, 1.858405277, 0.218578295, 0.065466918,-0.094973960,-0.082079965,-0.946479121,-0.162842401, 0.900624979,-1.203088064,-1.083183103, 0.081315078
2'-Desoxyuridine, 3.178372997, 7.098253193,-0.153434397, 0.460469040, 0.780347952, 0.381004820, 1.737558049, 0.003937882,-0.127561359,-0.299820179,-0.343513759,-0.191129376,-0.389166681, 0.502143919, 0.688725123,-0.499789810, 1.044629997, 0.242055059, 0.962946733
