,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
"1-Decanol, 2-methyl-",-0.21280988,-0.16062098,-0.25869678,-0.12108715,-0.14701004,-0.16842698,-0.26747824,-0.20717352,-0.34996068,-0.34996004,-0.34993262,-0.34964575
"1-Decene, 8-methyl-",-0.39666503,-0.05996181,-0.33896772,-0.23253605,0.7226082,-0.39665613,-0.32991088,-0.29036007,-0.39665818,-0.39665796,-0.39574097,-0.39655415
1-Deoxypentitol,-0.719552489,-0.719490459,-0.719693588,-0.719027435,-0.719185068,-0.7193396,-0.680571055,-0.719513775,-0.203668658,-0.421633297,0.066896124,0.005740185
1-Hexadecanol,-0.14889911,-0.24579229,-0.27230928,-0.0408589,-0.07519852,-0.22664162,-0.28019814,-0.15652407,-0.3204211,-0.3203975,-0.31938497,-0.3087898
1-Hexanol,1.21738923,-1.07016407,-0.08323024,-0.29888938,-1.06572249,0.11104189,-1.07353084,-1.07050318,-0.43103938,-0.47500972,-1.06545889,-1.03250669
1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.4820024,-0.48200128,-0.48200494,-0.48199296,-0.48199579,-0.48199857,-0.48200545,-0.4820017,-0.48199945,-0.48199936,-0.48094827,-0.48015421
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-0.196231969,-0.469801564,-0.663449898,-0.353951854,-0.269634093,-0.201417234,-0.378944729,-0.698665528,1.191691643,1.485557565,1.731327368,0.39953117
1-Monoacetin,-0.07592413,-0.19816699,0.2147433,-0.45682946,-0.13248357,-0.12521871,-0.30060585,-0.25689887,1.58033235,1.39263325,1.93450407,-0.47585805
1-Octadecanol,-0.48883414,-1.07562141,-1.15053612,-0.79981711,-0.30888926,-0.89095308,-1.41513648,-0.71336043,-0.93226678,-0.78320078,-0.96692364,0.78336142
"1-Octanol, 2-butyl-",-0.455994172,-0.025012311,-0.475889965,-1.116645752,0.365665151,-1.121781153,-0.690652359,-0.409330311,-0.912305997,-0.960122456,-1.025614274,0.677420128
1-Octanol,-0.552592082,-0.472706723,-0.615491139,-0.286304837,-0.312463826,-0.441108615,-0.55696173,-0.571430511,-0.92190949,-0.877139168,-0.92120589,2.687380357
"1-Octene, 2-methyl-",-0.612570364,-0.540080296,-0.66512815,-0.249701855,-0.322160535,-0.713315581,-0.697977451,-0.529478508,-1.046087196,-0.788832762,-1.045175828,0.123938065
"1-Pentene, 3,3-dimethyl-",-0.397936935,-0.397580552,0.320009844,-0.394920305,-0.395825967,-0.39671381,-0.398910543,-0.397714512,1.091237105,0.301887076,0.170659938,-0.382704529
1-Phenethylamine,-0.438149978,-0.003759761,-0.332690837,-0.137506223,-0.060322397,-0.235257921,-0.164997475,-0.069038562,2.02645009,0.969993266,1.795920263,-0.436477432
"1-Phenyl-1,2-ethanediol",-0.49584494,-0.7903296,-0.89526015,0.07725814,-0.11606023,-0.78736373,-0.90581643,-0.35430911,-1.06661971,-1.06649617,-1.06119525,-0.53474551
1-Phenylethanol,-0.18159204,-0.27727666,-0.27728503,-0.27725759,-0.27726408,-0.27727045,-0.14720266,-0.27727762,-0.26806059,-0.27727226,-0.27726334,-0.27717002
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",-0.7858589,-0.7837471,0.19937957,-0.76798341,-0.77335004,-0.77861109,-0.65691273,-0.69419318,-0.78027634,-0.78010455,-0.77273299,-0.69559703
"1-Propanamine, N,N-diethyl- ",-1.064804723,-0.961614119,-1.186501173,-0.631239416,-0.676658503,-0.84722835,-1.234031025,-1.017850359,-0.870975134,-0.912758075,-0.614863564,1.835792018
1-Tetradecanol,-0.200548888,-0.03945287,-0.138022423,-0.007782374,-0.238310966,-0.168919897,-0.196387014,-0.194954411,0.222480328,-0.311703537,0.356952371,-0.269380637
"1,1'-Biphenyl, 3,4-diethyl-",-0.36567847,-0.40488502,-0.37181791,-0.32018992,-0.16174847,-0.31288848,-0.42000701,-0.42105201,0.4408339,-0.04278446,-0.52767868,1.37564822
"1,2-Benzenedicarboxylic acid",-0.3188622,-0.61144008,-0.61638412,-0.09037847,-0.04487259,-0.5282807,-0.6475556,-0.34993767,-0.80760401,-0.80761355,-0.80756583,-0.80755492
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-0.819320676,-0.815421954,1.031712086,-0.786319684,-0.796227339,-0.805940072,-0.82997165,-0.816887438,0.691986728,-0.808697229,-0.795088165,-0.652682885
"1,2-Butanediol",-0.239164335,-0.238333005,-0.241055365,0.013680151,0.07490675,-0.236311169,-0.114920255,-0.009743967,-0.236966709,-0.137846217,-0.233997201,-0.203631913
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",-0.387414,-0.3864507,-0.3896052,-0.3792601,-0.3817081,-0.3841079,-0.3900457,-0.3868128,-0.3848675,-0.3847892,-0.3814266,0.5221661
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",-0.23960437,-0.0680779,-0.27987644,-0.04369559,0.15203697,0.23204305,-0.25375182,-0.31005056,-0.36836891,-0.36831681,-0.36608136,-0.34268955
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",-0.688256305,-0.883560206,-0.709069962,0.152204391,-0.63467913,-0.454748646,-0.663918304,-0.695827237,-0.88340636,-0.883398745,-0.88307199,-0.879652829
"1,2,3-Butanetriol",-0.297562183,-0.49963275,-0.500089719,-0.498591105,-0.479589162,-0.439485745,-0.268494807,-0.145053755,-0.359376051,-0.26461959,-0.397437681,-0.464328622
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-0.443124318,-0.325722205,-0.593137696,-0.181152248,-0.133867819,-0.31313468,-0.522772958,-0.273359484,1.516638017,-0.009937454,1.345685963,2.238534997
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",-0.71779351,-0.84593827,0.09855041,-0.86811627,-0.86091991,-0.75846899,-0.83072711,-0.76299826,-0.96321662,-0.97318033,-0.97308013,-0.97203155
"1,3-Cyclohexanebis(methylamine)",-0.514189753,-0.420125426,1.035598608,-0.509871833,-0.511168172,-0.512439006,-0.324983908,-0.238065213,1.54286911,1.17322505,2.551686157,0.394836956
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",-0.028648186,-0.18264757,-0.225005227,0.221016078,0.162528401,-0.164707848,-0.230428345,-0.0005823,1.668497448,5.390379319,1.25829324,-0.329434166
"1,3,5-Benzetriol",-0.850690396,-0.849394247,-0.204448527,-0.83971905,-0.760086412,-0.846241947,-0.854231367,-0.708882117,-0.847264017,0.697776986,1.660226124,1.37269512
"1,3,5-Trimethyl-1H-pyrazol-4-amine",-0.203116422,-0.176731748,-0.187726094,-0.255128103,-0.168643287,-0.176043091,-0.186761423,-0.16348918,-0.273722959,-0.273864644,-0.273933625,-0.274267801
"1,4-Butanediol",-0.8366412,0.3835664,0.1152631,-0.7881843,-0.2136321,-0.8356046,-0.8374664,-0.5319666,-0.7130921,-0.7641111,-0.8347639,-0.8237316
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",-0.21618962,-0.30704019,0.24083983,-0.37186606,-0.31883874,-0.28147813,-0.30012438,-0.32792238,3.99789122,1.03413802,2.38634351,-0.36960135
"1,4-Dioxaspiro[4.5]decane",-0.29913509,-0.29913408,-0.29913737,-0.2991266,-0.29912915,-0.29913165,0.11203993,-0.29913446,-0.29913244,-0.29913235,-0.29912886,-0.2988805
"1,5-Anhydroglucitol",-0.40535711,-0.64906316,-0.45211376,-0.29414281,-0.27612362,-0.3365785,-0.47446185,-0.4045949,0.2333143,0.25067933,0.39558455,0.68604137
10-Heptadecenoic acid,-0.080861823,-0.089766638,-0.264685653,-0.153124541,-0.043773239,-0.000750746,-0.18145195,-0.098717743,0.76019789,0.866317182,0.238356557,0.319640628
10-Nonadecenoic acid,-0.52329493,0.08577982,-0.52770165,-0.20316769,0.21721191,-0.51664612,-0.52858739,-0.52208586,1.56574473,1.245237,1.02129592,-0.44049275
12-Hydroxyoctadecanoic acid,-0.295271246,-0.224022799,-0.360195207,-0.541671891,-0.068573472,-0.185453853,-0.363888195,-0.238815742,2.159401865,1.473098467,-0.546211363,-0.472487664
12-Oxooctadecanoate,-0.245406865,-0.474998752,-0.306743661,-0.087225617,-0.148645273,-0.51049275,-0.511889587,-0.20505047,-0.351715275,-0.363900701,-0.336376536,0.061262566
13-Docosenamide,-0.41960676,-0.60663683,-0.14912065,-0.53737741,-0.45406161,-0.44166976,-0.54576615,-0.53294105,-0.76166553,-0.7611919,-0.7637999,-0.76314473
"15-Oxo-11Z,13E-eicosadienoic acid",-0.46147354,-0.487264562,-0.013056384,-0.43733799,-0.487247621,-0.487256194,-0.487277403,-0.099709751,0.080656574,0.110116745,0.519946302,3.423005452
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",-0.3605185,0.4360218,-0.40520233,-0.45718256,-0.17598127,-0.14923856,-0.4105117,-0.38341324,-0.45826878,-0.4582536,-0.45760224,-0.45078638
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",0.060338364,0.391610223,-0.850317245,-0.842831859,-0.844603142,0.584264061,0.042878043,-0.848296739,-0.141518043,1.197584849,0.551821753,-0.818940371
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-0.22518458,-0.57574279,-0.33047215,-0.38798046,-0.37820154,-0.23878572,-0.27000086,-0.36240603,0.18406998,-0.57541567,-0.57475368,2.03851072
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",-0.85907308,-0.31692645,-0.76915255,-0.3854281,-0.41710589,-0.60001734,-0.69591456,-0.29539239,0.22436986,-0.03380685,0.46172175,-0.55018684
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,-0.29920556,-0.33564205,-0.35369062,-0.24517131,-0.29235868,-0.22384993,-0.34413733,-0.36115319,-0.40329644,-0.40329595,-0.40327521,0.57676566
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-0.111833704,0.006431348,-0.111834675,-0.111830089,-0.111831174,-0.111832238,-0.070697739,0.014204545,-0.111832575,-0.11183254,-0.111831049,-0.11181545
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",0.006662402,-0.360442742,-0.320088404,-0.318311258,-0.393697062,-0.223268803,-0.235840333,-0.352871166,-0.394732454,-0.394706773,-0.393604821,-0.382073993
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,2.90164655,-0.799612751,-0.800732594,-0.797060109,-0.797929137,0.080738808,-0.800888946,-0.799741293,0.646811548,0.573830886,0.048312499,-0.133647011
"2-Allyl-1,4-dimethoxybenzene",-0.560346143,-0.559978717,-0.561181929,-0.557236039,-0.558169763,-0.487598554,-0.56134992,-0.560116828,1.068161844,0.789470491,1.47499299,-0.111463061
2-Amino-4-methylphenol,-0.17275229,-0.24055882,-0.2461465,-0.05596175,-0.07337212,0.02926831,-0.21758046,-0.07990271,-0.24582165,-0.24581628,-0.24558572,-0.24317316
"2-Amino-4,6-dihydroxypyrimidine",-0.52660539,-0.86562643,0.01230674,-0.38374734,-0.70804854,-0.86550874,-0.86580703,-0.86564462,-0.74922014,-0.86554296,-0.86537405,-0.86360649
2-Aminoadipic acid,-0.007666626,-0.042891034,-0.094483344,0.234878668,0.063272209,0.15630176,-0.106659271,-0.231588527,0.003288349,0.113887923,-0.092077335,0.903531848
2-Aminobutanoic acid,0.284573626,-0.261709001,0.43612507,-0.475900729,-0.359757464,-0.275266506,-0.367475162,-0.29724108,1.044365481,0.345831769,-0.214862017,2.035109587
2-Butenedioic acid,-0.29649804,-0.091210475,-0.164118406,0.196003267,-0.419363212,-0.183746892,-0.250885125,-0.360022724,2.857472153,1.775403284,1.185799417,-0.371390231
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",-0.2190735,-0.20314223,-0.23301806,-0.16705475,-0.18525877,-0.1773309,-0.2484076,-0.22308134,-0.31705941,-0.3170594,1.97428294,4.64816394
2-Ethyl-3-hydroxypropionic acid,-0.458641077,-0.324926249,-1.087122266,0.469167506,-0.730068586,-0.578905446,-0.529071768,-0.262793455,-1.347179196,-1.347011011,-1.339794208,-0.827519863
2-Furoic acid,0.21290042,-0.63501276,0.83687985,-0.579915,-0.59867263,-0.21837057,-0.35964931,-0.63778729,-0.62288166,-0.6222812,-0.5965159,2.59178397
"2-Heptanone, 4,6-dimethyl-",-0.223758251,-0.071966693,-0.245440727,-0.179809846,-0.006541672,-0.198427651,-0.123995249,-0.100476651,-0.245361714,-0.245360408,-0.245304329,-0.244717528
2-Heptenoic acid,0.50820218,-0.10825231,-0.41446255,-0.20019286,-0.31875664,-0.2957217,0.13316401,-0.36234552,-0.44913066,3.18012414,-0.4478779,-0.43506747
2-Hexen-1-ol,-0.987928146,1.812983591,-1.224933378,-0.699678337,0.325099299,-0.722202307,-0.139589979,-1.038675831,-0.239206464,0.014098145,-0.366730958,-0.291270245
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",-0.492830651,2.38568471,-1.01487988,0.094132312,-1.013663959,0.049681044,0.117157521,-1.01444993,-1.014150416,-1.014138351,-1.013620622,-1.008203103
2-Hydroxy-2-methylbutyric acid,-0.99717998,-0.99586303,-1.00017564,-0.31950204,-0.9893793,-0.99266016,-1.00077776,-0.99635806,1.20847528,-0.31043024,-0.6182129,1.34538511
2-Hydroxy-3-methylbutyric acid,-0.1853332,-0.1873296,-0.2600618,-0.1679162,-0.1687826,-0.1789404,-0.2420823,-0.1625761,-0.3028493,0.3375161,-0.3027881,2.7200819
2-Hydroxy-5-methoxybenzaldehyde,-0.638367367,-0.485981927,-0.778341551,-0.347999844,-0.355719723,-0.407225957,-0.584641696,-0.498546046,0.607327337,0.461312806,0.943797082,0.860178114
2-Hydroxybutyric acid,-0.19522118,-0.96224102,-0.74511225,-1.07113708,-1.07250647,-1.07255095,-0.75171221,-1.07260109,1.11730192,0.22143911,1.40777754,1.85922509
2-Imidazolidinone,-0.3949272,-0.279969,-0.2368217,-0.3763305,-0.2229419,-0.2196139,-0.2951476,-0.2675512,-0.3891194,-0.3889407,-0.3812717,-0.3010238
2-Isopropyl-5-methyl-1-heptanol,-0.14468306,-0.15417559,-0.295406,-0.01050736,-0.10728875,-0.12751995,-0.19644325,-0.13980259,-0.29508867,-0.29508342,-0.29485819,-0.29250144
2-Ketoisocaproic acid,-0.58088872,0.10985805,-0.85078721,-0.40026915,-0.84841029,-0.29186074,-0.03798452,-0.3955554,-0.51056083,-0.53918026,-0.74662186,-0.83773523
2-Methyl-4-pentenoic acid,-0.84953793,-0.69745181,-0.91158789,-0.46678762,-0.69847232,-0.84238804,-1.00794762,-0.97284628,-0.39299303,-0.17286472,-0.2619943,0.34440852
2-Methyl-E-7-hexadecene,-0.40708871,-0.41889246,-0.41889488,-0.41888694,-0.41888882,-0.41889066,-0.41889522,-0.41889274,-0.41889124,-0.41889118,-0.4188886,-0.4188616
2-Methylglutaconic acid,-1.08581382,-1.054332232,-0.139021172,-0.25022126,-0.988468229,-0.772951065,-1.042323174,-0.983016035,-0.910563429,-0.872533601,-0.435113941,2.638987983
2-Naphthol,-1.004243156,-1.033284823,-0.816280967,-1.103289273,-0.391725705,-0.907784476,-1.138855747,-0.703493097,-1.465170663,-0.817116286,-0.782880163,1.584621001
2-Oxooctanoic acid,-0.170179795,-0.399464808,0.123540859,-0.395873607,-0.392845631,-0.377048395,-0.268896927,-0.406082123,-0.40700326,-0.4067724,-0.407027758,-0.407029064
"2-Pentenedioic acid, 3-methyl-",-0.4353318,-0.3196124,0.1028126,-0.4353266,0.1695458,-0.4353297,-0.4353335,-0.4353314,-0.4276306,-0.433543,-0.431397,-0.4353053
2-Pentenoic acid,-0.32987947,-0.04918552,-0.43552974,-0.19633132,-0.13237036,-0.15768207,-0.27498966,-0.33044809,-0.50223854,-0.5021259,-0.32254424,-0.44671574
2-Piperidinone,-0.04504892,-0.14821418,-0.08000052,-0.19532239,-0.14970091,-0.17443653,-0.23169484,-0.13259519,3.32054287,7.46321643,-0.23123089,-0.2293369
"2-Propanone, bis(1-methylethyl)hydrazone",-0.2192428,-0.1884293,-0.2425456,-0.1046129,-0.1342403,-0.1754202,-0.2467745,-0.2192096,-0.3246873,0.8564331,-0.3165743,4.3243999
"2-Propenamide, 3-phenyl-N-2-propenyl-",-0.180915783,-0.177716577,-0.036570364,-0.190166966,-0.190303257,-0.174211315,-0.151349083,-0.172400462,-0.190479157,-0.190474794,0.196923329,-0.188328641
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",-0.15555513,-0.07798937,-0.13774817,-0.06972271,-0.10833869,-0.15491508,-0.06846685,-0.11255304,-0.15506214,-0.15504697,-0.15439599,-0.14758417
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",-0.232147697,-0.232146898,-0.232149515,-0.232140933,-0.232142964,-0.232144955,-0.231291838,-0.232147198,-0.232145585,-0.232103733,-0.23214273,-0.232113544
2-Pyrrolidinone,-0.101885186,-0.159589956,-0.236678274,-0.166647355,-0.120667015,-0.07343381,-0.150645051,-0.192459271,2.822602093,5.201543629,1.880454152,-0.131318316
2-Trimethylsilyloxysebacic acid,0.769858754,-0.117924134,-0.117924144,-0.11792411,-0.117924118,-0.117924126,0.008139542,-0.117924135,-0.117924128,-0.117924128,-0.117924117,-0.117923999
"2,2-Diallylpyrrolidine",-0.118698044,-0.167639071,-0.104489095,-0.1594641,-0.188320386,-0.163317897,-0.185262645,-0.026413653,-0.218839755,2.107802854,-0.218450342,-0.214468324
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-0.927246382,-1.138668105,-1.831753062,-0.065887514,-0.073692649,-1.297088408,-1.463212773,-0.602458758,-0.879378203,-0.972259599,-0.796791564,1.387277729
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",1.127476911,1.560088253,0.532253219,-0.365565195,-0.365565284,-0.365565371,-0.365565587,2.424567383,3.688196791,2.063701978,2.626852508,-0.365563995
"2,2'-Biphenyldiol",-0.13049959,-0.18053974,-0.12571181,-0.05981248,-0.03322832,-0.05594162,-0.17388098,-0.11158499,9.39282583,0.31537201,-0.25052646,-0.23681571
"2,3-Butanediol",-0.100437832,-0.420512201,0.537235752,3.398547625,-0.941374429,-0.712123958,-0.987560457,-0.949370338,-1.00216441,-1.002123239,-0.099928173,-0.981870219
"2,3,4-Trihydroxybutyric acid tetrakis",-0.91268102,1.884560993,-0.914627652,-0.905437267,-0.907612008,-0.909743963,-0.91501892,-0.912146922,0.88644894,0.781189234,1.16998046,0.758035625
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-0.540919622,-0.540829121,-0.541125487,-0.540153565,-0.540383553,-0.540609016,-0.541166865,-0.540863139,1.10734477,1.037699953,1.500727105,0.003338022
"2,4-Decadienal",-0.704909878,-0.589555925,-1.106802795,-0.669567111,-0.514572061,-0.435085426,-0.687717565,-0.61368973,0.365246643,0.621602376,0.166223924,2.642598646
"2,4-Diamino-6,7-dimethylpteridine",-1.02764846,-0.91997581,-1.09464148,-0.53847428,-0.61578177,-0.80398584,-1.17901445,-0.97003191,-0.75497235,-0.76242798,-0.56967973,1.86989908
"2,4-Imidazolidinedione, 5,5-dimethyl-",-0.46195892,-0.44961214,-0.11076073,1.24399921,-0.62688283,-0.35680206,-0.4032075,-0.54180419,-0.63432729,-0.63414264,-0.62621962,2.1084522
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",-0.785569513,-0.895843316,-1.608973888,1.007456672,0.525854776,-0.530030644,-1.104372374,-0.626829272,-1.598988169,-1.368462337,-1.459462369,0.319534277
"2,5-di-tert-Butyl-1,4-benzoquinone",-0.339472288,-0.09139387,-0.036572769,0.415513767,0.163144196,0.172939279,-0.060322294,-0.339464226,4.763595571,4.015019037,-0.339391999,-0.338920173
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",-1.14867734,-0.94645646,-1.34144476,-0.73246108,-0.76568726,-0.88910444,-1.14853577,-1.01690157,1.16508233,0.71971868,0.69572308,1.3364842
"2,5-Di-tert-butylhydroquinone",-0.29092409,-0.22109715,-0.35594692,-0.28071179,-0.25947451,-0.24349797,-0.333482,-0.33894494,-0.4771714,-0.4771714,-0.4771714,-0.47716741
"2,5-Dimethoxy-4-(n)-propylphenethylamine",-0.45268973,-0.45217233,-0.45386666,-0.44831016,-0.44962501,-0.45091399,-0.45410322,-0.38752781,-0.45132198,-0.40994524,-0.44947383,-0.43057521
"2,5-Dimethoxy-4-methylamphetamine",-0.85500265,-0.41441531,-1.17614167,-0.17144891,-0.12126966,-0.54892954,-0.91984694,-0.75025812,-0.28902355,-0.34781773,-0.30933815,0.37358085
"2,5-Dimethoxybenzhydrazide",-0.140382075,0.226004965,-0.43856124,0.090958532,0.129843843,0.071529633,-0.130936085,-0.302482738,0.5872266,0.661561517,0.716794456,0.012843239
"2,5-Dimethoxybenzonitrile",0.059212059,0.138502431,-0.652175874,0.311348621,0.21029967,0.113626928,-0.201054161,-0.336004039,0.78854541,-0.048026436,0.150693141,-0.691917867
"2,5-Dimethoxymandelic acid",-3.70E-01,-1.83E-01,-6.04E-01,-7.54E-02,-1.90E-01,-7.53E-02,-2.09E-01,-3.75E-01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01
"2,5-Dimethoxyphenol",-0.58001398,-0.08834085,-0.98818983,-0.22062211,-0.07939454,-0.1554458,-0.42283406,-0.65727381,0.68315075,0.53594616,0.72010192,1.14944794
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",-0.05842387,-0.04895051,-0.28953003,0.33806128,-0.19095009,-0.05153608,0.09465536,-0.26559319,-0.27304695,-0.27715825,-0.29096696,-0.2889057
"2,5-Piperazinedione, 3-(phenylmethyl)-",-0.41873743,-0.418425397,-0.266238057,-0.416096204,-0.416889161,-0.417666517,-0.419589877,-0.418542686,-0.417912568,-0.417887185,-0.416797987,1.855056472
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",-0.9980315,-0.9980288,-0.6835968,-0.9980084,-0.9980153,-0.9980221,-0.998039,-0.9980298,-0.9980243,-0.9980241,-0.9980145,-0.9979145
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",-0.27806351,-0.2780099,-0.1798079,-0.27760971,-0.27774595,-0.27787951,-0.27820997,-0.27803005,6.86771884,-0.01141826,4.8471964,-0.27577206
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",-0.57186341,-0.343809193,-0.68240407,-0.534863377,-0.515415297,-0.68143204,-0.682481947,-0.681910315,-0.239143464,-0.382764165,-0.680957935,-0.674736441
