NAME,75_feci_100322,100_rep_110322,101_rep_110322,102_feci_100322,103_rep_110322,104_feci_100322,105_rep_110322,106_110322,81_feci_100322,83_feci_20_81,84_feci_100322,108_rep_110322,109_110322,110_110322,113_110322,88_feci_100322,89_feci_100322,115_110322,116_110322,118_110322,120_110322,121_REP_140322,122_110322,70_feci_09032022,97_rep110322,124_110322,125_110322,126_110322,129_110322,Feci_DSS-T0_896_27022024,Feci_DSS-T0_897_27022024,Feci_DSS-T0_T0.5_27022024,Feci_DSS-T0_T0.6_27022024,Feci_DSS-T0_T0.7_27022024,Feci_DSS-T0_T0.8_27022024,Feci_DSS-T1_111_27022024,Feci_DSS-T1_B901_27022024,Feci_DSS-T1_B902_27022024,Feci_DSS-T1_T1.5_27022024,Feci_DSS-T1_T1.6_27022024,Feci_DSS-T1_T1.8_27022024,Feci_DSS-T3_90_28022024,Feci_DSS-T3_91_28022024,Feci_DSS-T3_906_28022024,Feci_DSS-T3_907_rep_28022024_2,Feci_DSS-T3_T3.6_28022024,Feci_DSS-T3_T3.7_28022024,Feci_DSS-T3_T3.8_28022024,Feci_DSS-T5_128_28022024,Feci_DSS-T5_B911_28022024,Feci_DSS-T5_B912_28022024,Feci_DSS-T5_T5.5_28022024,Feci_DSS-T5_T5.6_28022024,Feci_DSS-T5_T5.7_28022024,Feci_DSS-T5_T5.8_28022024,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024,Feci_LPS_2.5H_944_26022024,Feci_LPS_2.5H_945_26022024,Feci_LPS_2.5H_946_26022024,Feci_LPS_2.5H_947_26022024,Feci_LPS_2.5H_948_26022024,Feci_LPS_2.5H_949_26022024,Feci_LPS_2.5H_950_26022024,Feci_LPS_2.5H_953_26022024,Feci_LPS_24H_954_26022024,Feci_LPS_24H_956_26022024,Feci_LPS_24H_957_27022024,Feci_LPS_24H_958_26022024,Feci_LPS_24H_959_26022024,Feci_LPS_24H_962_27022024,Feci_LPS_24H_963_27022024,Feci_LPS-24H960REP_01032024,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
"2,4-Di-tert-butylphenol",0.0000051,0.00000445,0.00000716,0.00000333,0.00000723,0.00000489,0.0000082,0.00000506,0.00000364,0.0000108,0.00000697,0.0000099,0.0000107,0.0000221,0.0000704,0.00000818,0.0000278,0.0000399,0.0000383,0.0000627,0.0000172,0.0000219,0.0000113,0.00000688,0.00000351,0.00000609,0.00000783,0.00000706,0.00000186,0,0,0,2.06104E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32787E-05,0.000299725,0,0,0,0,0,0,0,2.12447E-05,0,0,0.000237823,2.09103E-05,0,2.44369E-05,0,2.44875E-05,0,0,2.11971E-05,0,0,3.20141E-05,0,0,0,0,0,0,1.37123E-05,6.46105E-06,0,2.16233E-05,0,0,2.88747E-05,0,0,0,0,0,1.07198E-05,0,3.07144E-05,0,1.71374E-05,1.99618E-05
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",0.00000651,0.00000895,0.0000201,0.00000694,0.0000129,0.000014,0.0000128,0.00000768,0.00000481,0.0000121,0.0000109,0.0000191,0.00000773,0.0000134,0.00003,0.00000873,0.0000146,0.0000133,0.0000169,0.000023,0.0000131,0.0000115,0.0000093,0.00000533,0.00000539,0.0000144,0.0000131,0.0000096,0.00000315,6.61742E-06,8.2332E-06,8.0036E-06,1.10696E-05,7.73381E-06,8.14505E-06,9.15109E-06,6.95233E-06,1.66611E-05,8.3549E-06,9.97006E-06,8.36792E-06,8.59469E-06,7.67185E-06,5.3045E-06,4.27909E-06,8.8158E-06,4.32085E-06,7.69194E-06,9.50565E-06,1.41369E-05,8.05856E-05,1.78247E-05,1.14505E-05,8.53166E-06,7.78688E-06,9.28981E-06,8.79913E-06,3.04458E-06,6.45056E-06,6.47024E-06,9.34163E-05,8.60041E-06,1.03424E-05,1.25738E-05,6.96065E-06,1.15344E-05,2.31839E-05,9.54692E-06,1.14485E-05,6.98326E-06,9.6547E-06,1.7434E-05,8.76809E-06,0,8.67808E-06,8.45375E-06,5.51462E-06,4.50241E-05,3.81139E-06,6.28503E-06,4.52912E-06,3.91964E-06,5.82257E-06,2.52577E-06,1.18949E-05,4.67996E-06,4.37642E-06,3.73705E-06,5.40681E-06,4.87016E-06,6.904E-06,2.39072E-06,8.31957E-06,2.81894E-06,3.53684E-06,4.08249E-06
"2,5-Dimethoxybenzhydrazide",0.00000633,0.00000967,0.0000136,0.00000498,0.0000104,0.00000834,0.00000764,0.0000131,0.00000663,0.0000167,0.000013,0.0000156,0.00000686,0.000017,0.0000323,0.0000131,0.0000149,0.0000142,0.0000204,0.0000291,0.0000166,0.00000839,0.0000113,0.00000746,0.00000389,0.0000141,0.000013,0.00000913,0.00000311,1.71538E-05,2.13043E-05,2.13745E-05,2.16856E-05,1.76426E-05,2.0607E-05,6.60571E-06,8.2699E-06,7.9263E-06,5.64438E-06,5.82223E-06,9.73044E-06,2.35258E-06,5.52466E-06,5.96873E-06,8.45075E-06,7.03019E-06,1.24968E-05,1.54461E-05,1.20103E-05,1.10971E-05,2.05576E-05,1.82774E-05,1.477E-05,1.39923E-05,8.54258E-06,1.10185E-05,8.29806E-06,5.6691E-06,1.87116E-05,1.17534E-05,3.28802E-05,1.26431E-05,1.34275E-05,6.50849E-06,1.33965E-05,1.10558E-05,2.36322E-05,1.15151E-05,1.26493E-05,1.39153E-05,1.14716E-05,1.33313E-05,9.50383E-06,1.4443E-05,1.04026E-05,1.03898E-05,6.5015E-06,2.1264E-05,9.82938E-06,9.93231E-06,4.3546E-06,9.2048E-06,1.23227E-05,8.15495E-06,1.10058E-05,7.26862E-06,6.29392E-06,1.07166E-05,4.71833E-06,8.13225E-06,7.40321E-06,9.96705E-06,1.14086E-05,1.03102E-05,1.01078E-05,1.1365E-05
"2,5-Dimethoxymandelic acid",0.00000702,0.00000719,0.0000121,0.00000516,0.0000126,0.0000105,0.0000108,0.000012,0.0000046,0.0000113,0.0000122,0.0000203,0.00000483,0.00000896,0.0000156,0.00000787,0.00001,0.00000767,0.0000179,0.0000245,0.0000145,0.0000115,0.0000105,0.00000509,0.00000425,0.0000171,0.0000146,0.0000275,0.00000263,2.16121E-05,1.87315E-05,1.72038E-05,1.94245E-05,1.4329E-05,1.70619E-05,1.51424E-05,0,1.50529E-05,1.13735E-05,0,9.12559E-06,9.50543E-06,0,0,1.0492E-05,0,1.39557E-05,3.07423E-05,1.91161E-05,0,0,1.28119E-05,1.27743E-05,1.06018E-05,0,0,0,7.31162E-06,1.20504E-05,1.38709E-05,3.58172E-05,0,1.07285E-05,0,1.33927E-05,9.11954E-06,2.27014E-05,1.2193E-05,1.5304E-05,1.46531E-05,7.35591E-06,0,1.14752E-05,2.91067E-05,1.12828E-05,1.27453E-05,5.26202E-06,0,4.88928E-05,2.1617E-05,1.87367E-05,0,1.65545E-05,0,4.58102E-05,0,0,1.48402E-05,0,0,0,0,0,1.3833E-05,0,0
"2,5-Dimethoxyphenol",0.00000383,0.0000091,0.0000106,0.00000349,0.0000168,0.00000567,0.00000615,0.0000101,0.00000653,0.0000178,0.0000106,0.0000196,0.00000745,0.0000164,0.0000257,0.00000878,0.0000132,0.0000157,0.0000269,0.0000332,0.0000166,0.0000209,0.0000106,0.00000429,0.00000324,0.0000146,0.00000998,0.0000094,0.00000305,9.34696E-06,1.45089E-05,1.09951E-05,1.19127E-05,9.71662E-06,9.79428E-06,1.208E-05,7.79838E-06,9.05901E-06,7.24224E-06,7.03064E-06,9.56479E-06,6.50723E-06,6.72182E-06,7.94315E-06,7.75906E-06,1.34512E-05,9.07606E-06,1.37099E-05,1.13573E-05,9.73688E-06,6.28293E-05,1.65541E-05,1.23469E-05,1.26599E-05,9.79931E-06,7.04112E-06,6.9876E-06,6.90283E-06,1.15762E-05,9.43926E-06,6.16497E-05,9.3493E-06,1.21616E-05,1.27709E-05,9.56323E-06,7.82952E-06,2.38912E-05,8.88468E-06,1.02658E-05,1.39853E-05,1.12961E-05,1.14537E-05,8.33708E-06,1.61576E-05,7.99955E-06,9.43112E-06,7.42852E-06,4.1329E-05,6.70803E-06,6.40444E-06,5.79208E-06,5.67336E-06,6.75591E-06,5.67582E-06,2.20494E-05,6.9615E-06,6.75997E-06,9.26988E-06,8.10045E-06,5.54961E-06,3.70336E-06,6.83828E-06,9.35439E-06,7.82699E-06,8.4775E-06,7.32135E-06
"2,5-Di-tert-butyl-4-hydroxyphenol",0.00000763,0.0000151,0.0000264,0.00000633,0.0000151,0.0000123,0.000012,0.00000995,0.00000484,0.0000151,0.000011,0.0000145,0.00000454,0.00000841,0.000014,0.00000754,0.0000099,0.0000147,0.0000208,0.0000215,0.0000108,0.00000339,0.0000067,0.00000895,0.00000506,0.0000161,0.0000177,0.00000951,0.00000284,1.02799E-05,8.36441E-06,8.11845E-06,1.14151E-05,9.21928E-06,1.02996E-05,7.62988E-06,6.07088E-06,1.02489E-05,7.03631E-06,8.10862E-06,1.13839E-05,9.41618E-06,8.39959E-06,5.55354E-06,7.53431E-06,1.21039E-05,8.52745E-06,1.72815E-05,7.38253E-06,1.02601E-05,5.49144E-05,1.422E-05,9.71744E-06,9.88466E-06,8.23567E-06,9.94256E-06,1.05201E-05,7.28901E-06,1.03266E-05,8.22086E-06,5.37853E-05,8.63476E-06,1.10971E-05,1.342E-05,8.52809E-06,1.17773E-05,2.04211E-05,8.40445E-06,8.79914E-06,9.39911E-06,1.02554E-05,8.93523E-06,8.93504E-06,1.45106E-05,6.16309E-06,7.30003E-06,8.52407E-06,3.28903E-05,4.77811E-06,5.89493E-06,6.10316E-06,4.82282E-06,5.43387E-06,5.08092E-06,1.18475E-05,5.42624E-06,4.34927E-06,4.67674E-06,5.06446E-06,3.57711E-06,3.49006E-06,4.64402E-06,7.36783E-06,4.62152E-06,5.38606E-06,5.78223E-06
"2,6-Di-O-methyl-d-galactopyranose",0.0000113,0.0000176,0.000037,0.0000107,0.0000313,0.0000218,0.0000196,0.00000309,0.000002,0.00000775,0.00000304,0.00000451,0.00000179,0.00000354,0.00000922,0,0,0.00000162,0.00000121,0.0000181,0.00000112,0.00000623,0.00000868,0.0000122,0.0000176,0.00000392,0.00000285,0.00000123,0.00000385,2.33636E-06,0,5.27092E-06,0,3.02393E-06,3.37936E-06,0,0,5.42502E-06,2.28433E-05,1.97188E-06,5.88245E-06,2.02497E-06,1.50925E-06,8.3381E-06,2.85476E-06,1.87716E-06,2.06474E-06,0,6.76629E-05,0,2.08152E-05,1.20343E-06,1.42074E-06,0,7.64942E-05,4.81441E-05,5.02038E-06,2.56826E-06,0,2.1804E-05,7.29219E-06,0,5.45038E-06,0,0,4.04947E-06,0,1.6768E-05,1.65952E-05,0,2.12795E-05,6.71335E-05,2.45396E-06,1.97265E-05,0,0,0,0,6.6585E-07,0,0,3.38942E-05,0,0,1.32357E-05,1.42882E-05,0,9.57223E-08,0,0,0,3.86868E-07,3.93489E-05,0,0,0
"2-Allyl-1,4-dimethoxybenzene ",0.0000044,0.00000848,0.00000132,0.00000451,0.00000114,0.00000747,0.00000789,0.00000116,0.00000565,0.0000231,0.0000216,0.0000172,0.0000123,0.0000223,0.0000381,0.0000155,0.000022,0.0000237,0.0000403,0.0000484,0.0000238,0.0000107,0.0000119,0.00000792,0.00000356,0.0000148,0.0000127,0.00000108,0.00000295,1.48935E-05,2.5237E-05,1.89933E-05,2.25925E-05,1.97658E-05,1.92291E-05,1.24178E-05,8.47094E-06,9.54862E-06,6.93272E-06,7.96298E-06,1.34819E-05,7.43246E-06,8.1987E-06,9.19806E-06,9.08248E-06,1.01461E-05,1.19959E-05,1.62182E-05,1.28681E-05,9.71222E-06,4.29938E-05,1.79753E-05,1.17702E-05,1.55222E-05,9.20209E-06,1.00951E-05,8.92867E-06,8.63121E-06,1.891E-05,1.41027E-05,5.45396E-05,1.21748E-05,1.52458E-05,1.22813E-05,1.20143E-05,8.50573E-06,2.4525E-05,1.02103E-05,1.05674E-05,1.7865E-05,1.44632E-05,1.2926E-05,1.0847E-05,1.63685E-05,1.13509E-05,1.23806E-05,1.17066E-05,2.21533E-05,8.30418E-06,9.78903E-06,7.08474E-06,7.29409E-06,1.16973E-05,8.9112E-06,3.27575E-05,1.01787E-05,9.89423E-06,1.05447E-05,8.91408E-06,7.50359E-06,6.02583E-06,9.64956E-06,1.21584E-05,1.24448E-05,9.65085E-06,8.43097E-06
2-Amino-4-tert-butylphenol,0.0000102,0.00000846,0.0000267,0.00000568,0.0000123,0.0000178,0.00000994,0.0000128,0.00000464,0.0000203,0.00000743,0.0000123,0.0000085,0.0000274,0.0000175,0.00000519,0.0000053,0.00000655,0.0000226,0.0000176,0.00000886,0.00000463,0.00000869,0.0000111,0.00000473,0.0000202,0.0000104,0.00000816,0.00000285,1.03689E-05,2.41377E-05,0,3.04009E-05,2.39133E-05,3.34702E-06,7.86394E-06,1.04957E-05,2.79453E-05,0,0,0,0,0,3.1348E-06,0,0,0,1.20556E-05,0,0,0.000113254,0,2.71593E-05,0,0,1.10999E-05,5.84338E-06,0,0,3.12543E-05,5.22035E-05,1.12422E-05,1.20272E-05,1.41336E-05,0,2.07591E-05,0,1.06144E-05,1.21737E-05,0,9.1181E-06,6.02431E-05,9.10348E-06,0,2.12966E-06,0,0,2.25324E-05,0,8.8685E-07,0,0,2.24537E-07,0,0,0,0,4.87304E-06,0,0,0,0,0,7.61313E-06,1.97419E-05,1.60299E-05
2-Aminoadipic acid,0.00000776,0.0000164,0.0000275,0.00000958,0.000019,0.0000243,0.0000193,0.0000162,0.000000565,0.00000355,0,0.00000739,0.000000948,0.00000292,0,0,0,0,0.00000199,0,0.000000621,0.00000496,0.00000239,0.00000544,0.0000057,0.0000174,0.0000203,0.0000103,0.00000304,2.81205E-05,1.71061E-05,1.69241E-05,1.69924E-05,1.57335E-05,1.70365E-05,2.94821E-06,1.93166E-06,2.97456E-06,2.4424E-06,9.00658E-07,5.04567E-07,8.95112E-07,1.59141E-06,2.08366E-06,1.46294E-06,2.80396E-06,1.37186E-06,0,1.124E-05,1.30257E-05,1.65123E-05,9.27553E-06,4.29269E-06,7.31458E-06,5.18738E-06,4.65221E-06,3.99916E-06,5.82664E-06,5.51983E-06,6.0599E-06,9.29933E-06,1.04031E-05,7.53644E-06,1.19894E-05,8.02908E-06,1.25935E-05,1.17208E-05,8.81353E-06,1.13476E-05,6.92079E-06,8.1721E-06,7.10804E-06,7.2707E-06,8.16673E-06,8.74981E-06,6.12782E-06,3.57027E-06,5.37234E-06,8.12881E-06,6.57548E-06,8.61899E-06,3.56425E-06,6.13278E-06,5.1042E-06,3.53391E-06,3.14748E-06,5.4559E-06,4.68107E-06,5.45316E-06,5.9982E-06,6.25008E-06,7.07383E-06,7.68441E-06,9.75103E-06,5.09876E-06,6.52121E-06
2-Aminobutanoic acid,0.00001353,0.000044,0.0000291,0.0000105,0.00001754,0.00002556,0.00001533,0.00003087,0.00000899,0.0000563,0.00002372,0.00002477,0.00000562,0.0000102,0.0000184,0.00000771,0.00000412,0.00000881,0.0000349,0.0000343,0.00001807,0.00000661,0.00002852,0.00001309,0.0000095,0.00002641,0.00003747,0.00001513,0.0000092,7.21235E-05,2.89479E-05,0.000101784,1.9528E-05,0,4.66406E-05,1.24194E-05,0,1.50271E-05,1.48194E-05,9.07965E-06,0,0,9.43337E-06,0,8.94908E-06,1.24633E-05,1.78237E-05,0,2.33116E-05,4.15728E-05,0,4.21971E-05,0,2.26247E-05,1.26389E-05,0,6.95489E-06,7.00408E-06,2.12841E-05,5.69478E-06,0,1.77549E-05,1.83902E-05,2.31742E-05,1.39702E-05,3.25175E-05,1.65436E-05,4.26229E-05,7.63892E-05,1.64095E-05,4.31024E-06,1.96755E-05,1.45105E-05,2.39728E-05,3.16821E-05,1.45028E-05,7.41814E-06,2.50698E-05,0.000165137,1.70698E-05,6.49891E-06,6.3743E-06,7.34857E-06,1.64309E-05,0,1.0566E-05,1.21717E-05,8.49897E-06,1.14433E-05,9.93859E-06,6.09771E-06,7.0417E-06,1.91398E-05,2.05672E-05,0,7.84804E-06
2-Butenedioic acid,0.00002159,0.00001777,0.0000179,0.0000114,0.00002346,0.00001916,0.00001459,0.00001887,0.00000983,0.0000281,0.00002043,0.0000359,0.00001558,0.0000252,0.0000441,0.00001863,0.00002569,0.0000413,0.0000183,0.0000832,9.7047E-06,0.00001775,0.00002071,0.00000669,0.00000907,0.0000468,0.0000308,0.00002564,0.00000694,2.81268E-05,3.01451E-05,2.71957E-05,3.97538E-05,4.0207E-05,3.73534E-05,2.29274E-05,1.02798E-05,2.02295E-05,1.38759E-05,1.27734E-05,1.45233E-05,1.17903E-05,1.25571E-05,1.58423E-05,1.33034E-05,1.29405E-05,1.27364E-05,1.79391E-05,2.43223E-05,2.1842E-05,8.12831E-05,1.8759E-05,1.7727E-05,2.25485E-05,1.54456E-05,2.29731E-05,1.70716E-05,1.71786E-05,1.9627E-05,2.31432E-05,5.59208E-05,2.34184E-05,2.33565E-05,2.91141E-05,1.92649E-05,2.56006E-05,3.34528E-05,2.07551E-05,2.38968E-05,1.90102E-05,2.54471E-05,2.78122E-05,2.05818E-05,2.81254E-05,2.32333E-05,2.24509E-05,1.32764E-05,1.96287E-05,2.14547E-05,1.24261E-05,1.49458E-05,1.46269E-05,1.38884E-05,1.74828E-05,2.63963E-05,1.55612E-05,1.95264E-05,1.36847E-05,1.52595E-05,1.67214E-05,2.42192E-05,1.56922E-05,2.60398E-05,2.54165E-05,1.70075E-05,1.87187E-05
"2-Butenoic acid, 2-hydroxy-",0.0000102,0.0000263,0.0000511,0.00000124,0.0000125,0.0000162,0.00000478,0.00000684,0.00000293,0,0.00000552,0.0000278,0.00000593,0,0.00000836,0.00000434,0.00000601,0,0,0.00000576,0.00000347,0,0.00000895,0.0000114,0.0000105,0.00000682,0.0000291,0.0000117,0.00000555,0,0.000128595,2.80095E-05,0,0,0,7.02919E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08188E-05,0,0,0,0,0,1.64363E-05,1.30766E-05,6.82868E-06,0,0,7.8613E-05,0,0,2.01498E-05,0,1.34498E-05,3.3913E-05,1.59689E-05,0,1.39371E-05,1.35491E-05,1.80122E-05,4.25142E-06,0,0,0,0,0,0,3.42565E-05,0,0,0,1.38804E-05,0,0,0,0,0,0,0,0,0,0,0,1.92715E-05
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",0.00000391,0.00000206,0.00000119,0.00000107,0,0.00000171,0.00000188,0.0000123,0.000017,0.00000884,0.00000508,0.0000127,0.00000802,0.0000323,0.0000665,0.0000274,0.0000136,0.0000426,0.0000295,0.0000207,0.0000308,0.00000872,0.0000191,0.00000425,0.000000992,0.00000717,0.00000701,0.00000386,0.00000373,0,0,1.32262E-05,0,1.18438E-05,1.40342E-05,1.07725E-05,9.89877E-06,1.82463E-05,0,1.18828E-05,1.40456E-05,1.59752E-05,0,0,0,0,1.00004E-05,1.55771E-05,0,1.98952E-05,0.000133972,2.45469E-05,1.47067E-05,0,0,1.54203E-05,1.1076E-05,1.10793E-06,1.07888E-05,1.46622E-05,0.000103675,0,0,1.90887E-05,0,1.61358E-05,3.86204E-05,0,1.92444E-05,0,0,0,1.32513E-05,2.16897E-05,1.12497E-05,1.42324E-05,8.41023E-06,1.93418E-05,7.27522E-06,7.11413E-06,5.68396E-06,8.11642E-06,7.9358E-06,6.68103E-06,2.05588E-05,8.60196E-06,0,8.08257E-06,9.52828E-06,8.72933E-06,8.5572E-06,7.01557E-06,1.0494E-05,4.91317E-06,7.89207E-06,8.72951E-06
2'-Deoxyribolactone,0.000000678,0,0,0,0,0,0.00000108,0.00000186,0,0.00000116,0,0.00000217,0.00000102,0,0.00000338,0,0.00000157,0,0,0,7.64E-08,0,0,0.00000146,0.000000304,0,0,0,0,0,8.97549E-07,2.50687E-07,6.97241E-07,7.256E-07,6.31393E-07,4.38921E-07,3.88044E-07,6.19516E-07,4.23487E-07,5.141E-07,6.92522E-07,2.37668E-07,3.51322E-07,6.40561E-07,5.26382E-07,6.34959E-07,0,2.80976E-07,3.40778E-07,3.29896E-07,0,7.58155E-07,5.40058E-07,8.34929E-07,5.32871E-07,7.49504E-07,1.29255E-06,0,3.53711E-07,1.15222E-06,7.33127E-07,6.48562E-07,5.38546E-07,2.17252E-07,2.3166E-07,5.45169E-07,7.63109E-07,3.80561E-07,3.98237E-07,1.91214E-07,6.95673E-07,1.21516E-06,1.53303E-07,5.60021E-07,3.53628E-07,0,3.81581E-07,4.04072E-07,3.23783E-07,2.45642E-07,1.92855E-07,7.07907E-07,8.28117E-08,2.86852E-07,8.1832E-07,7.22926E-07,3.85217E-07,3.10429E-07,2.20576E-07,2.88618E-07,7.84924E-08,3.5363E-07,6.5867E-07,0,4.41418E-08,4.16689E-07
2'-Desoxyuridine,0.000014,0.00000657,0.0000141,0.00000858,0.0000109,0.000032,0.0000161,0.0000222,0.0000038,0.0000371,0.0000112,0.00000607,0.00000598,0.0000407,0.00000745,0.00000182,0.00000184,0.00000159,0.00000401,0.00000128,0.00000514,0.0000019,0.00000144,0.0000046,0.00000266,0.0000293,0.0000172,0.0000166,0.00000313,2.78086E-05,1.95072E-05,2.59374E-05,2.39325E-05,2.1126E-05,1.51471E-05,2.95069E-06,3.58068E-07,1.06573E-06,9.64474E-07,6.61688E-06,4.06819E-06,8.92454E-07,6.51893E-06,6.15437E-07,4.58808E-06,9.25386E-06,1.18903E-05,8.8672E-06,5.4683E-06,1.53363E-05,2.15373E-05,1.25862E-05,1.2425E-05,2.21705E-05,5.33967E-06,2.48815E-06,3.09886E-06,5.64927E-06,1.908E-05,6.22597E-06,5.0931E-06,9.57352E-06,9.00483E-06,1.22155E-05,1.07067E-05,9.35556E-06,1.67934E-05,1.06048E-05,1.57929E-05,2.59262E-05,3.69543E-06,6.00705E-06,7.79245E-06,2.2051E-05,1.45472E-05,1.85874E-05,1.30783E-05,2.85057E-05,6.24291E-05,6.02641E-06,1.05863E-05,1.20925E-05,1.21123E-05,1.74964E-05,1.03451E-05,5.58754E-06,5.32076E-06,4.55987E-06,4.36086E-06,4.52714E-06,1.04946E-05,1.39638E-05,4.80172E-06,1.61163E-05,9.63145E-06,1.53427E-05
2-Ethylacetoacetate,0.00000963,0.0000186,0.0000443,0.00000979,0.0000242,0.000017,0.00000769,0.0000099,0.00000236,0.00000896,0.00000527,0.00000645,0.0000048,0.00000791,0.0000129,0.00000441,0.00000503,0.0000023,0.00000618,0.00000914,0.00000629,0.0000115,0.00000595,0.0000159,0.00000518,0,0,0.00000632,0.00000224,1.44554E-05,3.27215E-05,2.36887E-05,2.57651E-05,2.43176E-05,1.47201E-05,7.58228E-06,3.73934E-06,0,2.67641E-06,3.13961E-06,6.20409E-06,3.81057E-06,3.74192E-06,5.75986E-06,4.1305E-06,0,1.06344E-05,9.33948E-06,8.8079E-06,4.1203E-06,0,8.48795E-06,7.09752E-06,1.13332E-05,4.63869E-06,5.89831E-06,6.56838E-06,1.37494E-05,1.41836E-05,1.5717E-05,1.54013E-05,1.13571E-05,1.11145E-05,1.21794E-05,7.48115E-06,7.02227E-06,1.06775E-05,8.77592E-06,7.56641E-06,5.96684E-06,1.21977E-05,1.26432E-05,6.01591E-06,9.1261E-06,6.39189E-06,1.00018E-05,5.91486E-06,6.10687E-06,5.61736E-06,6.42222E-06,3.81843E-06,1.05849E-05,1.1448E-05,7.77997E-06,1.91845E-05,7.47942E-06,7.22206E-06,5.85799E-06,3.27796E-06,3.20579E-06,6.7874E-06,5.84714E-06,1.25135E-05,9.39791E-06,4.66701E-06,5.09367E-06
2-Ethylhexanoic acid,0.0000112,0.00000378,0.000008,0.00000908,0.0000046,0.000021,0.0000057,0.0000127,0.00000953,0.0000261,0.0000212,0.00000917,0.0000133,0.0000192,0.0000498,0.0000152,0.0000264,0.0000212,0.00000932,0.0000118,0.00000606,0.00000596,0.00000498,0.0000103,0.00000233,0.00000841,0.0000067,0.00000475,0.00000184,1.04296E-05,1.09727E-05,3.83269E-05,4.66703E-05,1.13979E-05,3.17796E-05,3.37811E-06,1.95973E-06,9.98419E-06,3.26555E-05,3.43389E-06,2.69222E-06,4.39892E-06,3.28763E-06,3.96786E-06,6.60268E-06,1.22092E-05,4.53244E-06,7.86649E-06,7.31182E-06,7.97485E-06,3.85843E-05,1.02458E-05,6.20745E-06,5.29851E-06,4.24542E-06,3.75711E-06,4.41378E-06,2.35031E-06,4.23453E-06,2.92615E-06,0,1.46996E-06,4.53532E-06,5.67234E-06,4.32132E-06,5.94791E-06,1.03992E-05,5.20931E-06,6.34563E-06,4.96212E-06,3.86455E-06,9.42869E-05,2.51122E-05,6.28685E-06,4.21056E-05,4.96004E-05,7.1336E-06,8.63113E-06,1.36423E-05,9.94917E-06,6.56215E-05,5.77004E-06,1.44445E-05,4.29315E-06,3.14782E-06,6.63406E-06,3.40654E-06,5.75838E-07,1.06408E-06,1.37486E-06,1.54355E-06,9.69132E-07,1.21373E-06,7.31019E-07,4.65142E-06,5.33507E-06
"2-Furanacetaldehyde, tetrahydro-alpha",0.0000112,0.0000117,0.0000622,0.00000447,0,0,0.0000073,0,0,9.54E-08,0,0,0,0.00000151,0,0,0,0.000000904,0,0,0,0.0000033,0,0,0.000000933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00517E-06,0,0,0,0,0,0,0,0,0,0,9.2262E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4682E-05,0,0,0,0,0,0,5.82794E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26658E-06,7.81371E-06,9.64968E-06,1.10658E-05
2-Furoic acid,0,0.0000195,0.0000317,0,0.0000184,0.0000172,0,0,0.00000278,0.0000058,0,0,0.00000967,0,0.00000854,0.00000297,0,0.00000428,0.00000587,0.00000691,0,0.00000492,0.00000202,0.0000119,0.00000662,0,0.00000414,0,0.000000973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47545E-05,0,0,0,0,0,0,0,0,0,7.3657E-05,0,0,0,0,0,0,0,0,0,7.34874E-05,0,0,0,0,0,0,0,0,7.42863E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
