Node 1 ID,Node 1 Name,Node 1 Tissue,Node 2 ID,Node 2 Name,Node 2 Tissue,Node 1: Direction of Change,Node 2: Direction of Change,Total Sample Size,"Pooled/Avg. Correlation Coefficient, Spearman",FDR-Adjusted P-Value,"Pooled Correlation P-Value, Spearman",Meta-Analysis P-Value,"Correlation Coefficient, Spearman, VECPAC","Correlation P-Value, Spearman, VECPAC","Sample Size, VECPAC","Correlation Coefficient, Spearman, LPS","Correlation P-Value, Spearman, LPS","Sample Size, LPS","Correlation Coefficient, Spearman, DSS","Correlation P-Value, Spearman, DSS","Sample Size, DSS",Node 1: Degree,Node 1: Degree Percentile,Node 1: Feces-Degree (# Connected Nodes in Feces),Node 1: Feces-Degree Percentile,Node 1: Plasma-Degree (# Connected Nodes in Plasma),Node 1: Plasma-Degree Percentile,Node 1: Plexus-Degree (# Connected Nodes in Plexus),Node 1: Plexus-Degree Percentile,"Node 1: BiBC, Feces-Cortex, via Plasma","Node 1: BiBC, Feces-Cortex, via Plasma (%ile)","Node 1: BiBC, Feces-Cortex, via Plexus","Node 1: BiBC, Feces-Cortex, via Plexus (%ile)","Node 1: BiBC, Feces-Cortex, via Both","Node 1: BiBC, Feces-Cortex, via Both (%ile)","Node 1: BiBC, Feces-Striatum, via Plasma","Node 1: BiBC, Feces-Striatum, via Plasma (%ile)","Node 1: BiBC, Feces-Striatum, via Plexus","Node 1: BiBC, Feces-Striatum, via Plexus (%ile)","Node 1: BiBC, Feces-Striatum, via Both","Node 1: BiBC, Feces-Striatum, via Both (%ile)","Node 1: BiBC, Plasma-Plexus","Node 1: BiBC, Plasma-Plexus (%ile)","Node 1: BiBC, Plasma - Cortex","Node 1: BiBC Percentile, Plasma - Cortex","Node 1: BiBC, Plasma - Striatum","Node 1: BiBC Percentile, Plasma - Striatum","Node 1: BiBC, Choroid Plexus - Cortex","Node 1: BiBC Percentile, Choroid Plexus - Cortex","Node 1: BiBC, Choroid Plexus - Striatum","Node 1: BiBC Percentile, Choroid Plexus - Striatum","Node 1: BiBC, Choroid Plexus - Remaining Brain","Node 1: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 1: BiBC, Choroid Plexus - Other Transcriptomics","Node 1: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 1: Frustration,Node 1: Total # of Inputs,Node 1: # Inputs Indicating Up,Node 1: # Inputs Indicating Down,"Node 1: Median Abundance, VECPAC, CRE-","Node 1: Median Abundance, VECPAC, CRE+","Node 1: Median Abundance, LPS, CTRL","Node 1: Median Abundance, LPS, 2.5h","Node 1: Median Abundance, DSS, CTRL","Node 1: Median Abundance, DSS, T1",Node 1: Minimum Control Abundance,Node 1: Coefficient of Variation,Node 2: Degree,Node 2: Degree Percentile,Node 2: Feces-Degree (# Connected Nodes in Feces),Node 2: Feces-Degree Percentile,Node 2: Plasma-Degree (# Connected Nodes in Plasma),Node 2: Plasma-Degree Percentile,Node 2: Plexus-Degree (# Connected Nodes in Plexus),Node 2: Plexus-Degree Percentile,"Node 2: BiBC, Feces-Cortex, via Plasma","Node 2: BiBC, Feces-Cortex, via Plasma (%ile)","Node 2: BiBC, Feces-Cortex, via Plexus","Node 2: BiBC, Feces-Cortex, via Plexus (%ile)","Node 2: BiBC, Feces-Cortex, via Both","Node 2: BiBC, Feces-Cortex, via Both (%ile)","Node 2: BiBC, Feces-Striatum, via Plasma","Node 2: BiBC, Feces-Striatum, via Plasma (%ile)","Node 2: BiBC, Feces-Striatum, via Plexus","Node 2: BiBC, Feces-Striatum, via Plexus (%ile)","Node 2: BiBC, Feces-Striatum, via Both","Node 2: BiBC, Feces-Striatum, via Both (%ile)","Node 2: BiBC, Plasma-Plexus","Node 2: BiBC, Plasma-Plexus (%ile)","Node 2: BiBC, Plasma - Cortex","Node 2: BiBC Percentile, Plasma - Cortex","Node 2: BiBC, Plasma - Striatum","Node 2: BiBC Percentile, Plasma - Striatum","Node 2: BiBC, Choroid Plexus - Cortex","Node 2: BiBC Percentile, Choroid Plexus - Cortex","Node 2: BiBC, Choroid Plexus - Striatum","Node 2: BiBC Percentile, Choroid Plexus - Striatum","Node 2: BiBC, Choroid Plexus - Remaining Brain","Node 2: BiBC Percentile, Choroid Plexus - Remaining Brain","Node 2: BiBC, Choroid Plexus - Other Transcriptomics","Node 2: BiBC Percentile, Choroid Plexus - Other Transcriptomics",Node 2: Frustration,Node 2: Total # of Inputs,Node 2: # Inputs Indicating Up,Node 2: # Inputs Indicating Down,"Node 2: Median Abundance, VECPAC, CRE-","Node 2: Median Abundance, VECPAC, CRE+","Node 2: Median Abundance, LPS, CTRL","Node 2: Median Abundance, LPS, 2.5h","Node 2: Median Abundance, DSS, CTRL","Node 2: Median Abundance, DSS, T1",Node 2: Minimum Control Abundance,Node 2: Coefficient of Variation
318,Mfge8,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.712,0.098,0.001,,,,,,,,,,,44,96.0%,4,85.9%,3,83.4%,44,97.8%,455.3,75.0%,1017.6,87.1%,750.5,86.1%,483.3,75.5%,934.4,84.9%,744.7,87.1%,2175.0,89.5%,1143.0,82.8%,1265.5,84.6%,3410.3,95.3%,2978.2,94.4%,1868.8,94.0%,8257.4,95.7%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
377,Gprc5c,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.738,0.081,0.000,,,,,,,,,,,10,69.3%,1,73.2%,1,74.8%,10,89.5%,87.0,47.3%,656.5,76.7%,422.6,75.0%,721.0,83.1%,1203.2,89.5%,845.5,89.0%,2845.5,93.6%,770.4,74.5%,2591.6,94.4%,1478.6,81.3%,2286.2,90.1%,1092.6,84.0%,4857.4,86.6%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
421,Pi4ka,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.713,0.098,0.001,,,,,,,,,,,34,93.3%,7,91.2%,2,80.0%,34,96.8%,126.2,52.0%,276.3,56.2%,181.0,55.5%,1139.6,90.7%,1059.2,87.6%,972.1,91.0%,5100.6,98.1%,760.7,74.3%,3005.2,95.9%,3631.5,96.0%,3187.8,95.3%,2837.5,98.4%,9656.8,96.8%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
533,Imp3,Choroid Plexus,3177,"1-Butanamine, N,N-diethyl-",Plasma,Up,Down,,-0.799,0.048,0.000,,,,,,,,,,,12,74.5%,0,34.5%,2,80.0%,12,91.2%,369.7,70.8%,648.0,76.0%,277.8,64.5%,2040.2,96.3%,428.0,65.3%,640.2,83.8%,272.3,43.6%,1293.6,85.1%,4460.7,98.4%,1414.6,80.5%,2334.9,90.5%,423.3,60.1%,4172.8,83.2%,,,,,,,,,,,,,28,91.3%,4,85.9%,28,97.9%,6,82.4%,1219.0,91.4%,,,284.2,65.1%,2140.7,96.9%,,,511.7,78.9%,4290.6,97.2%,2275.2,93.4%,4220.8,98.1%,,,,,,,,,14.3%,7,1,6,7628182.2,8085675.5,6549091.5,6972906.0,8488280.0,8731622.4,6549091.5,0.1
126,Eipr1,Choroid Plexus,3179,1-Cyclopentylethanol,Plasma,Up,Down,,-0.773,0.069,0.000,,,,,,,,,,,6,52.3%,2,79.6%,4,85.9%,6,82.4%,0.4,19.0%,9.3,22.5%,41.8,35.2%,1.2,20.5%,33.9,29.6%,79.9,40.6%,45.6,27.4%,13.2,26.5%,16.8,26.9%,,,,,,,,,,,,,,,,,,,,,36,94.0%,2,79.6%,36,98.7%,3,69.5%,1325.9,92.5%,,,240.8,61.5%,1977.9,96.1%,,,528.2,79.4%,3576.1,96.3%,3389.6,96.9%,4595.7,98.5%,,,,,,,,,0.0%,3,0,3,88451.7,89672.6,41318.8,79465.2,107348.1,103321.2,41318.8,0.4
533,Imp3,Choroid Plexus,3179,1-Cyclopentylethanol,Plasma,Up,Down,,-0.747,0.087,0.001,,,,,,,,,,,12,74.5%,0,34.5%,2,80.0%,12,91.2%,369.7,70.8%,648.0,76.0%,277.8,64.5%,2040.2,96.3%,428.0,65.3%,640.2,83.8%,272.3,43.6%,1293.6,85.1%,4460.7,98.4%,1414.6,80.5%,2334.9,90.5%,423.3,60.1%,4172.8,83.2%,,,,,,,,,,,,,36,94.0%,2,79.6%,36,98.7%,3,69.5%,1325.9,92.5%,,,240.8,61.5%,1977.9,96.1%,,,528.2,79.4%,3576.1,96.3%,3389.6,96.9%,4595.7,98.5%,,,,,,,,,0.0%,3,0,3,88451.7,89672.6,41318.8,79465.2,107348.1,103321.2,41318.8,0.4
670,Ubc,Choroid Plexus,3179,1-Cyclopentylethanol,Plasma,Up,Down,,-0.730,0.098,0.001,,,,,,,,,,,42,95.6%,3,83.3%,1,74.8%,42,97.7%,898.3,87.6%,2357.0,97.4%,1863.3,97.8%,1480.0,93.5%,3537.8,99.0%,2720.6,98.8%,2156.3,89.3%,2027.7,92.1%,2647.0,94.6%,4097.4,97.2%,5357.8,98.8%,2317.9,96.5%,11773.0,98.5%,,,,,,,,,,,,,36,94.0%,2,79.6%,36,98.7%,3,69.5%,1325.9,92.5%,,,240.8,61.5%,1977.9,96.1%,,,528.2,79.4%,3576.1,96.3%,3389.6,96.9%,4595.7,98.5%,,,,,,,,,0.0%,3,0,3,88451.7,89672.6,41318.8,79465.2,107348.1,103321.2,41318.8,0.4
409,Tada1,Choroid Plexus,3181,"1-Decene, 8-methyl-",Plasma,Up,Down,,-1.000,0.000,0.000,,,,,,,,,,,8,62.0%,0,34.5%,2,80.0%,8,86.7%,408.1,73.1%,458.0,68.7%,295.4,65.5%,548.9,77.5%,226.6,50.2%,260.6,60.9%,1907.6,87.2%,1730.2,90.3%,1127.7,82.2%,2637.4,92.2%,1573.6,83.4%,1822.7,93.8%,6033.7,91.3%,,,,,,,,,,,,,9,65.8%,2,79.6%,9,91.7%,2,60.1%,403.9,72.9%,,,109.4,47.0%,338.5,68.4%,,,90.5,42.2%,2643.6,92.4%,1711.1,90.3%,2042.5,92.0%,,,,,,,,,0.0%,2,0,2,0.0,72828.6,0.0,32747.1,642920.9,0.0,0.0,1.7
787,Haus4,Choroid Plexus,3181,"1-Decene, 8-methyl-",Plasma,Down,Down,,0.964,0.079,0.000,,,,,,,,,,,2,15.0%,0,34.5%,1,74.8%,2,60.1%,2.4,22.7%,0.0,7.7%,0.0,12.7%,0.1,17.7%,0.0,7.7%,0.0,6.1%,38.0,26.2%,10.7,25.6%,9.3,24.8%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%,,,,,,,,,,,,,9,65.8%,2,79.6%,9,91.7%,2,60.1%,403.9,72.9%,,,109.4,47.0%,338.5,68.4%,,,90.5,42.2%,2643.6,92.4%,1711.1,90.3%,2042.5,92.0%,,,,,,,,,0.0%,2,0,2,0.0,72828.6,0.0,32747.1,642920.9,0.0,0.0,1.7
19,Wbp11,Choroid Plexus,3182,1-Deoxypentitol,Plasma,Down,Down,,0.783,0.098,0.001,,,,,,,,,,,62,98.5%,4,85.9%,15,94.5%,62,98.8%,2577.3,97.5%,2455.9,97.8%,1727.1,97.2%,1005.7,89.2%,1770.9,95.2%,994.6,91.3%,7421.8,99.5%,7343.0,99.4%,3782.3,97.5%,11132.2,99.9%,8673.6,99.8%,7105.0,100.0%,26910.8,100.0%,,,,,,,,,,,,,35,93.6%,0,34.5%,35,98.5%,9,88.3%,716.1,84.1%,,,192.3,56.6%,851.1,86.3%,,,151.4,50.8%,3076.8,94.7%,1636.7,89.8%,1851.4,90.7%,,,,,,,,,18.2%,11,2,9,88.0,80.4,196.4,137.6,0.0,42.7,0.0,1.0
110,Dctn2,Choroid Plexus,3182,1-Deoxypentitol,Plasma,Up,Down,,-0.785,0.097,0.001,,,,,,,,,,,10,69.3%,1,73.2%,3,83.4%,10,89.5%,630.3,81.6%,1596.7,94.2%,467.4,77.2%,9.4,27.8%,780.6,81.6%,87.5,41.9%,959.5,72.1%,1296.9,85.1%,206.4,47.8%,1186.0,77.1%,1025.2,72.8%,608.4,68.4%,2819.6,73.1%,,,,,,,,,,,,,35,93.6%,0,34.5%,35,98.5%,9,88.3%,716.1,84.1%,,,192.3,56.6%,851.1,86.3%,,,151.4,50.8%,3076.8,94.7%,1636.7,89.8%,1851.4,90.7%,,,,,,,,,18.2%,11,2,9,88.0,80.4,196.4,137.6,0.0,42.7,0.0,1.0
144,Dnajc7,Choroid Plexus,3182,1-Deoxypentitol,Plasma,Up,Down,,-0.805,0.082,0.001,,,,,,,,,,,38,94.5%,1,73.2%,5,87.6%,38,97.3%,264.4,61.8%,768.7,81.2%,470.9,77.4%,2105.1,96.8%,2416.1,97.4%,1687.1,97.0%,2678.8,92.8%,1444.8,87.2%,4693.5,98.7%,5463.1,98.7%,5960.7,99.1%,3231.1,99.1%,14655.0,99.3%,,,,,,,,,,,,,35,93.6%,0,34.5%,35,98.5%,9,88.3%,716.1,84.1%,,,192.3,56.6%,851.1,86.3%,,,151.4,50.8%,3076.8,94.7%,1636.7,89.8%,1851.4,90.7%,,,,,,,,,18.2%,11,2,9,88.0,80.4,196.4,137.6,0.0,42.7,0.0,1.0
184,Ndufs3,Choroid Plexus,3182,1-Deoxypentitol,Plasma,Down,Down,,0.829,0.067,0.000,,,,,,,,,,,12,74.5%,1,73.2%,5,87.6%,12,91.2%,104.8,49.8%,114.2,41.4%,47.3,36.5%,450.5,73.8%,260.5,52.6%,312.9,66.9%,394.5,48.1%,116.2,41.9%,644.6,71.0%,72.5,29.9%,98.8,31.3%,55.4,30.8%,226.7,24.2%,,,,,,,,,,,,,35,93.6%,0,34.5%,35,98.5%,9,88.3%,716.1,84.1%,,,192.3,56.6%,851.1,86.3%,,,151.4,50.8%,3076.8,94.7%,1636.7,89.8%,1851.4,90.7%,,,,,,,,,18.2%,11,2,9,88.0,80.4,196.4,137.6,0.0,42.7,0.0,1.0
