,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
"1-Decanol, 2-methyl-",-0.18132862,-0.21280988,-0.16062098,-0.25869678,-0.12108715,-0.14701004,-0.16842698,-0.26747824,-0.20717352,-0.34996068,-0.34996004,-0.34993262,-0.34964575
"1-Decene, 8-methyl-", 0.63536952,-0.39666503,-0.05996181,-0.33896772,-0.23253605, 0.72260820,-0.39665613,-0.32991088,-0.29036007,-0.39665818,-0.39665796,-0.39574097,-0.39655415
1-Deoxypentitol,-0.719354503,-0.719552489,-0.719490459,-0.719693588,-0.719027435,-0.719185068,-0.719339600,-0.680571055,-0.719513775,-0.203668658,-0.421633297, 0.066896124, 0.005740185
1-Hexadecanol,-0.22942235,-0.14889911,-0.24579229,-0.27230928,-0.04085890,-0.07519852,-0.22664162,-0.28019814,-0.15652407,-0.32042110,-0.32039750,-0.31938497,-0.30878980
1-Hexanol,-1.06818675, 1.21738923,-1.07016407,-0.08323024,-0.29888938,-1.06572249, 0.11104189,-1.07353084,-1.07050318,-0.43103938,-0.47500972,-1.06545889,-1.03250669
1-Hydroxy-3-methoxy-6-methylanthraquinone,-0.48199884,-0.48200240,-0.48200128,-0.48200494,-0.48199296,-0.48199579,-0.48199857,-0.48200545,-0.48200170,-0.48199945,-0.48199936,-0.48094827,-0.48015421
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",-0.724036222,-0.196231969,-0.469801564,-0.663449898,-0.353951854,-0.269634093,-0.201417234,-0.378944729,-0.698665528, 1.191691643, 1.485557565, 1.731327368, 0.399531170
1-Monoacetin,-0.26908774,-0.07592413,-0.19816699, 0.21474330,-0.45682946,-0.13248357,-0.12521871,-0.30060585,-0.25689887, 1.58033235, 1.39263325, 1.93450407,-0.47585805
1-Octadecanol,-1.11092708,-0.48883414,-1.07562141,-1.15053612,-0.79981711,-0.30888926,-0.89095308,-1.41513648,-0.71336043,-0.93226678,-0.78320078,-0.96692364, 0.78336142
"1-Octanol, 2-butyl-",-1.057545332,-0.455994172,-0.025012311,-0.475889965,-1.116645752, 0.365665151,-1.121781153,-0.690652359,-0.409330311,-0.912305997,-0.960122456,-1.025614274, 0.677420128
1-Octanol,-0.515467152,-0.552592082,-0.472706723,-0.615491139,-0.286304837,-0.312463826,-0.441108615,-0.556961730,-0.571430511,-0.921909490,-0.877139168,-0.921205890, 2.687380357
"1-Octene, 2-methyl-",-0.4890009399,-0.6125703644,-0.5400802960,-0.6651281497,-0.2497018550,-0.3221605346,-0.7133155806,-0.6979774514,-0.5294785084,-1.0460871960,-0.7888327620,-1.0451758281, 0.1239380648
"1-Pentene, 3,3-dimethyl-",-0.396799436,-0.397936935,-0.397580552, 0.320009844,-0.394920305,-0.395825967,-0.396713810,-0.398910543,-0.397714512, 1.091237105, 0.301887076, 0.170659938,-0.382704529
1-Phenethylamine,-0.160390144,-0.438149978,-0.003759761,-0.332690837,-0.137506223,-0.060322397,-0.235257921,-0.164997475,-0.069038562, 2.026450090, 0.969993266, 1.795920263,-0.436477432
"1-Phenyl-1,2-ethanediol",-0.82659214,-0.49584494,-0.79032960,-0.89526015, 0.07725814,-0.11606023,-0.78736373,-0.90581643,-0.35430911,-1.06661971,-1.06649617,-1.06119525,-0.53474551
1-Phenylethanol,-0.27727106,-0.18159204,-0.27727666,-0.27728503,-0.27725759,-0.27726408,-0.27727045,-0.14720266,-0.27727762,-0.26806059,-0.27727226,-0.27726334,-0.27717002
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",-0.77911848,-0.78585890,-0.78374710, 0.19937957,-0.76798341,-0.77335004,-0.77861109,-0.65691273,-0.69419318,-0.78027634,-0.78010455,-0.77273299,-0.69559703
"1-Propanamine, N,N-diethyl- ",-0.928386672,-1.064804723,-0.961614119,-1.186501173,-0.631239416,-0.676658503,-0.847228350,-1.234031025,-1.017850359,-0.870975134,-0.912758075,-0.614863564, 1.835792018
1-Tetradecanol,-0.163134587,-0.200548888,-0.039452870,-0.138022423,-0.007782374,-0.238310966,-0.168919897,-0.196387014,-0.194954411, 0.222480328,-0.311703537, 0.356952371,-0.269380637
"1,1'-Biphenyl, 3,4-diethyl-",-0.27620219,-0.36567847,-0.40488502,-0.37181791,-0.32018992,-0.16174847,-0.31288848,-0.42000701,-0.42105201, 0.44083390,-0.04278446,-0.52767868, 1.37564822
"1,2-Benzenedicarboxylic acid",-0.55599798,-0.31886220,-0.61144008,-0.61638412,-0.09037847,-0.04487259,-0.52828070,-0.64755560,-0.34993767,-0.80760401,-0.80761355,-0.80756583,-0.80755492
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",-0.8068767934,-0.8193206757,-0.8154219540, 1.0317120858,-0.7863196838,-0.7962273387,-0.8059400718,-0.8299716495,-0.8168874383, 0.6919867280,-0.8086972287,-0.7950881647,-0.6526828846
"1,2-Butanediol",-0.236510908,-0.239164335,-0.238333005,-0.241055365, 0.013680151, 0.074906750,-0.236311169,-0.114920255,-0.009743967,-0.236966709,-0.137846217,-0.233997201,-0.203631913
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",-0.3843394,-0.3874140,-0.3864507,-0.3896052,-0.3792601,-0.3817081,-0.3841079,-0.3900457,-0.3868128,-0.3848675,-0.3847892,-0.3814266, 0.5221661
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",-0.24089454,-0.23960437,-0.06807790,-0.27987644,-0.04369559, 0.15203697, 0.23204305,-0.25375182,-0.31005056,-0.36836891,-0.36831681,-0.36608136,-0.34268955
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",-0.781207661,-0.688256305,-0.883560206,-0.709069962, 0.152204391,-0.634679130,-0.454748646,-0.663918304,-0.695827237,-0.883406360,-0.883398745,-0.883071990,-0.879652829
"1,2,3-Butanetriol",-0.499326897,-0.297562183,-0.499632750,-0.500089719,-0.498591105,-0.479589162,-0.439485745,-0.268494807,-0.145053755,-0.359376051,-0.264619590,-0.397437681,-0.464328622
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",-0.271266865,-0.443124318,-0.325722205,-0.593137696,-0.181152248,-0.133867819,-0.313134680,-0.522772958,-0.273359484, 1.516638017,-0.009937454, 1.345685963, 2.238534997
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",-0.72556354,-0.71779351,-0.84593827, 0.09855041,-0.86811627,-0.86091991,-0.75846899,-0.83072711,-0.76299826,-0.96321662,-0.97318033,-0.97308013,-0.97203155
"1,3-Cyclohexanebis(methylamine)",-0.512561569,-0.514189753,-0.420125426, 1.035598608,-0.509871833,-0.511168172,-0.512439006,-0.324983908,-0.238065213, 1.542869110, 1.173225050, 2.551686157, 0.394836956
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",-0.1725134913,-0.0286481860,-0.1826475696,-0.2250052274, 0.2210160782, 0.1625284009,-0.1647078475,-0.2304283446,-0.0005823002, 1.6684974475, 5.3903793186, 1.2582932400,-0.3294341659
"1,3,5-Benzetriol",-0.846553365,-0.850690396,-0.849394247,-0.204448527,-0.839719050,-0.760086412,-0.846241947,-0.854231367,-0.708882117,-0.847264017, 0.697776986, 1.660226124, 1.372695120
"1,3,5-Trimethyl-1H-pyrazol-4-amine",-0.167848866,-0.203116422,-0.176731748,-0.187726094,-0.255128103,-0.168643287,-0.176043091,-0.186761423,-0.163489180,-0.273722959,-0.273864644,-0.273933625,-0.274267801
"1,4-Butanediol",-0.7061270,-0.8366412, 0.3835664, 0.1152631,-0.7881843,-0.2136321,-0.8356046,-0.8374664,-0.5319666,-0.7130921,-0.7641111,-0.8347639,-0.8237316
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",-0.27649687,-0.21618962,-0.30704019, 0.24083983,-0.37186606,-0.31883874,-0.28147813,-0.30012438,-0.32792238, 3.99789122, 1.03413802, 2.38634351,-0.36960135
"1,4-Dioxaspiro[4.5]decane", 0.34594323,-0.29913509,-0.29913408,-0.29913737,-0.29912660,-0.29912915,-0.29913165, 0.11203993,-0.29913446,-0.29913244,-0.29913235,-0.29912886,-0.29888050
"1,5-Anhydroglucitol",-0.31455200,-0.40535711,-0.64906316,-0.45211376,-0.29414281,-0.27612362,-0.33657850,-0.47446185,-0.40459490, 0.23331430, 0.25067933, 0.39558455, 0.68604137
10-Heptadecenoic acid,-0.1091397114,-0.0808618225,-0.0897666377,-0.2646856531,-0.1531245414,-0.0437732392,-0.0007507459,-0.1814519497,-0.0987177427, 0.7601978902, 0.8663171819, 0.2383565572, 0.3196406279
10-Nonadecenoic acid,-0.06798255,-0.52329493, 0.08577982,-0.52770165,-0.20316769, 0.21721191,-0.51664612,-0.52858739,-0.52208586, 1.56574473, 1.24523700, 1.02129592,-0.44049275
12-Hydroxyoctadecanoic acid,-0.552314376,-0.295271246,-0.224022799,-0.360195207,-0.541671891,-0.068573472,-0.185453853,-0.363888195,-0.238815742, 2.159401865, 1.473098467,-0.546211363,-0.472487664
12-Oxooctadecanoate,-0.2346569143,-0.2454068646,-0.4749987516,-0.3067436610,-0.0872256171,-0.1486452727,-0.5104927495,-0.5118895872,-0.2050504701,-0.3517152751,-0.3639007010,-0.3363765360, 0.0612625662
13-Docosenamide,-0.55762473,-0.41960676,-0.60663683,-0.14912065,-0.53737741,-0.45406161,-0.44166976,-0.54576615,-0.53294105,-0.76166553,-0.76119190,-0.76379990,-0.76314473
"15-Oxo-11Z,13E-eicosadienoic acid",-0.3215662049,-0.4614735397,-0.4872645621,-0.0130563843,-0.4373379900,-0.4872476213,-0.4872561936,-0.4872774033,-0.0997097505, 0.0806565735, 0.1101167454, 0.5199463018, 3.4230054517
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",-0.42866863,-0.36051850, 0.43602180,-0.40520233,-0.45718256,-0.17598127,-0.14923856,-0.41051170,-0.38341324,-0.45826878,-0.45825360,-0.45760224,-0.45078638
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",-0.846507044, 0.060338364, 0.391610223,-0.850317245,-0.842831859,-0.844603142, 0.584264061, 0.042878043,-0.848296739,-0.141518043, 1.197584849, 0.551821753,-0.818940371
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",-0.57532712,-0.22518458,-0.57574279,-0.33047215,-0.38798046,-0.37820154,-0.23878572,-0.27000086,-0.36240603, 0.18406998,-0.57541567,-0.57475368, 2.03851072
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",-0.71423649,-0.85907308,-0.31692645,-0.76915255,-0.38542810,-0.41710589,-0.60001734,-0.69591456,-0.29539239, 0.22436986,-0.03380685, 0.46172175,-0.55018684
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,-0.30623091,-0.29920556,-0.33564205,-0.35369062,-0.24517131,-0.29235868,-0.22384993,-0.34413733,-0.36115319,-0.40329644,-0.40329595,-0.40327521, 0.57676566
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",-0.111832340,-0.111833704, 0.006431348,-0.111834675,-0.111830089,-0.111831174,-0.111832238,-0.070697739, 0.014204545,-0.111832575,-0.111832540,-0.111831049,-0.111815450
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol",-0.337459900, 0.006662402,-0.360442742,-0.320088404,-0.318311258,-0.393697062,-0.223268803,-0.235840333,-0.352871166,-0.394732454,-0.394706773,-0.393604821,-0.382073993
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,-0.798863231, 2.901646550,-0.799612751,-0.800732594,-0.797060109,-0.797929137, 0.080738808,-0.800888946,-0.799741293, 0.646811548, 0.573830886, 0.048312499,-0.133647011
"2-Allyl-1,4-dimethoxybenzene",-0.478677612,-0.560346143,-0.559978717,-0.561181929,-0.557236039,-0.558169763,-0.487598554,-0.561349920,-0.560116828, 1.068161844, 0.789470491, 1.474992990,-0.111463061
2-Amino-4-methylphenol,-0.13008669,-0.17275229,-0.24055882,-0.24614650,-0.05596175,-0.07337212, 0.02926831,-0.21758046,-0.07990271,-0.24582165,-0.24581628,-0.24558572,-0.24317316
"2-Amino-4,6-dihydroxypyrimidine",-0.71893886,-0.52660539,-0.86562643, 0.01230674,-0.38374734,-0.70804854,-0.86550874,-0.86580703,-0.86564462,-0.74922014,-0.86554296,-0.86537405,-0.86360649
2-Aminoadipic acid,-0.041551194,-0.007666626,-0.042891034,-0.094483344, 0.234878668, 0.063272209, 0.156301760,-0.106659271,-0.231588527, 0.003288349, 0.113887923,-0.092077335, 0.903531848
2-Aminobutanoic acid,-0.3099326977, 0.2845736259,-0.2617090009, 0.4361250698,-0.4759007290,-0.3597574640,-0.2752665062,-0.3674751624,-0.2972410802, 1.0443654814, 0.3458317689,-0.2148620170, 2.0351095867
2-Butenedioic acid,-0.4105278709,-0.2964980404,-0.0912104745,-0.1641184064, 0.1960032673,-0.4193632118,-0.1837468915,-0.2508851253,-0.3600227239, 2.8574721531, 1.7754032838, 1.1857994173,-0.3713902312
"2-Butenoic acid, 2-[(trimethylsilyl)oxy]-",-0.21019124,-0.21907350,-0.20314223,-0.23301806,-0.16705475,-0.18525877,-0.17733090,-0.24840760,-0.22308134,-0.31705941,-0.31705940, 1.97428294, 4.64816394
2-Ethyl-3-hydroxypropionic acid,-1.346045645,-0.458641077,-0.324926249,-1.087122266, 0.469167506,-0.730068586,-0.578905446,-0.529071768,-0.262793455,-1.347179196,-1.347011011,-1.339794208,-0.827519863
2-Furoic acid, 0.29365558, 0.21290042,-0.63501276, 0.83687985,-0.57991500,-0.59867263,-0.21837057,-0.35964931,-0.63778729,-0.62288166,-0.62228120,-0.59651590, 2.59178397
"2-Heptanone, 4,6-dimethyl-",-0.245352906,-0.223758251,-0.071966693,-0.245440727,-0.179809846,-0.006541672,-0.198427651,-0.123995249,-0.100476651,-0.245361714,-0.245360408,-0.245304329,-0.244717528
2-Heptenoic acid,-0.43033166, 0.50820218,-0.10825231,-0.41446255,-0.20019286,-0.31875664,-0.29572170, 0.13316401,-0.36234552,-0.44913066, 3.18012414,-0.44787790,-0.43506747
2-Hexen-1-ol,-1.033043811,-0.987928146, 1.812983591,-1.224933378,-0.699678337, 0.325099299,-0.722202307,-0.139589979,-1.038675831,-0.239206464, 0.014098145,-0.366730958,-0.291270245
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",-1.014069096,-0.492830651, 2.385684710,-1.014879880, 0.094132312,-1.013663959, 0.049681044, 0.117157521,-1.014449930,-1.014150416,-1.014138351,-1.013620622,-1.008203103
2-Hydroxy-2-methylbutyric acid,-0.99297657,-0.99717998,-0.99586303,-1.00017564,-0.31950204,-0.98937930,-0.99266016,-1.00077776,-0.99635806, 1.20847528,-0.31043024,-0.61821290, 1.34538511
2-Hydroxy-3-methylbutyric acid,-0.1614300,-0.1853332,-0.1873296,-0.2600618,-0.1679162,-0.1687826,-0.1789404,-0.2420823,-0.1625761,-0.3028493, 0.3375161,-0.3027881, 2.7200819
2-Hydroxy-5-methoxybenzaldehyde,-0.525906007,-0.638367367,-0.485981927,-0.778341551,-0.347999844,-0.355719723,-0.407225957,-0.584641696,-0.498546046, 0.607327337, 0.461312806, 0.943797082, 0.860178114
2-Hydroxybutyric acid,-0.37074990,-0.19522118,-0.96224102,-0.74511225,-1.07113708,-1.07250647,-1.07255095,-0.75171221,-1.07260109, 1.11730192, 0.22143911, 1.40777754, 1.85922509
2-Imidazolidinone,-0.2381771,-0.3949272,-0.2799690,-0.2368217,-0.3763305,-0.2229419,-0.2196139,-0.2951476,-0.2675512,-0.3891194,-0.3889407,-0.3812717,-0.3010238
2-Isopropyl-5-methyl-1-heptanol,-0.12021491,-0.14468306,-0.15417559,-0.29540600,-0.01050736,-0.10728875,-0.12751995,-0.19644325,-0.13980259,-0.29508867,-0.29508342,-0.29485819,-0.29250144
2-Ketoisocaproic acid,-0.84920227,-0.58088872, 0.10985805,-0.85078721,-0.40026915,-0.84841029,-0.29186074,-0.03798452,-0.39555540,-0.51056083,-0.53918026,-0.74662186,-0.83773523
2-Methyl-4-pentenoic acid,-0.79393859,-0.84953793,-0.69745181,-0.91158789,-0.46678762,-0.69847232,-0.84238804,-1.00794762,-0.97284628,-0.39299303,-0.17286472,-0.26199430, 0.34440852
2-Methyl-E-7-hexadecene,-0.41889084,-0.40708871,-0.41889246,-0.41889488,-0.41888694,-0.41888882,-0.41889066,-0.41889522,-0.41889274,-0.41889124,-0.41889118,-0.41888860,-0.41886160
2-Methylglutaconic acid,-1.041480276,-1.085813820,-1.054332232,-0.139021172,-0.250221260,-0.988468229,-0.772951065,-1.042323174,-0.983016035,-0.910563429,-0.872533601,-0.435113941, 2.638987983
2-Naphthol,-0.608666491,-1.004243156,-1.033284823,-0.816280967,-1.103289273,-0.391725705,-0.907784476,-1.138855747,-0.703493097,-1.465170663,-0.817116286,-0.782880163, 1.584621001
2-Oxooctanoic acid,-0.3553516896,-0.1701797951,-0.3994648084, 0.1235408594,-0.3958736071,-0.3928456308,-0.3770483954,-0.2688969269,-0.4060821233,-0.4070032601,-0.4067724003,-0.4070277583,-0.4070290640
"2-Pentenedioic acid, 3-methyl-",-0.4353298,-0.4353318,-0.3196124, 0.1028126,-0.4353266, 0.1695458,-0.4353297,-0.4353335,-0.4353314,-0.4276306,-0.4335430,-0.4313970,-0.4353053
2-Pentenoic acid,-0.27924797,-0.32987947,-0.04918552,-0.43552974,-0.19633132,-0.13237036,-0.15768207,-0.27498966,-0.33044809,-0.50223854,-0.50212590,-0.32254424,-0.44671574
2-Piperidinone,-0.18164666,-0.04504892,-0.14821418,-0.08000052,-0.19532239,-0.14970091,-0.17443653,-0.23169484,-0.13259519, 3.32054287, 7.46321643,-0.23123089,-0.22933690
"2-Propanone, bis(1-methylethyl)hydrazone",-0.2018011,-0.2192428,-0.1884293,-0.2425456,-0.1046129,-0.1342403,-0.1754202,-0.2467745,-0.2192096,-0.3246873, 0.8564331,-0.3165743, 4.3243999
"2-Propenamide, 3-phenyl-N-2-propenyl-",-0.144167049,-0.180915783,-0.177716577,-0.036570364,-0.190166966,-0.190303257,-0.174211315,-0.151349083,-0.172400462,-0.190479157,-0.190474794, 0.196923329,-0.188328641
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",-0.15495989,-0.15555513,-0.07798937,-0.13774817,-0.06972271,-0.10833869,-0.15491508,-0.06846685,-0.11255304,-0.15506214,-0.15504697,-0.15439599,-0.14758417
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",-0.232145147,-0.232147697,-0.232146898,-0.232149515,-0.232140933,-0.232142964,-0.232144955,-0.231291838,-0.232147198,-0.232145585,-0.232103733,-0.232142730,-0.232113544
2-Pyrrolidinone,-0.206031315,-0.101885186,-0.159589956,-0.236678274,-0.166647355,-0.120667015,-0.073433810,-0.150645051,-0.192459271, 2.822602093, 5.201543629, 1.880454152,-0.131318316
2-Trimethylsilyloxysebacic acid,-0.117924127, 0.769858754,-0.117924134,-0.117924144,-0.117924110,-0.117924118,-0.117924126, 0.008139542,-0.117924135,-0.117924128,-0.117924128,-0.117924117,-0.117923999
"2,2-Diallylpyrrolidine",-0.1469109458,-0.1186980441,-0.1676390710,-0.1044890947,-0.1594641000,-0.1883203855,-0.1633178971,-0.1852626449,-0.0264136533,-0.2188397552, 2.1078028539,-0.2184503423,-0.2144683244
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-1.8157153485,-0.9272463817,-1.1386681049,-1.8317530621,-0.0658875135,-0.0736926485,-1.2970884078,-1.4632127728,-0.6024587584,-0.8793782028,-0.9722595994,-0.7967915635, 1.3872777286
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene", 1.178518279, 1.127476911, 1.560088253, 0.532253219,-0.365565195,-0.365565284,-0.365565371,-0.365565587, 2.424567383, 3.688196791, 2.063701978, 2.626852508,-0.365563995
"2,2'-Biphenyldiol",-0.08939381,-0.13049959,-0.18053974,-0.12571181,-0.05981248,-0.03322832,-0.05594162,-0.17388098,-0.11158499, 9.39282583, 0.31537201,-0.25052646,-0.23681571
"2,3-Butanediol",-0.514897893,-0.100437832,-0.420512201, 0.537235752, 3.398547625,-0.941374429,-0.712123958,-0.987560457,-0.949370338,-1.002164410,-1.002123239,-0.099928173,-0.981870219
"2,3,4-Trihydroxybutyric acid tetrakis",-0.909949574,-0.912681020, 1.884560993,-0.914627652,-0.905437267,-0.907612008,-0.909743963,-0.915018920,-0.912146922, 0.886448940, 0.781189234, 1.169980460, 0.758035625
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-0.540630760,-0.540919622,-0.540829121,-0.541125487,-0.540153565,-0.540383553,-0.540609016,-0.541166865,-0.540863139, 1.107344770, 1.037699953, 1.500727105, 0.003338022
"2,4-Decadienal",-0.642554419,-0.704909878,-0.589555925,-1.106802795,-0.669567111,-0.514572061,-0.435085426,-0.687717565,-0.613689730, 0.365246643, 0.621602376, 0.166223924, 2.642598646
"2,4-Diamino-6,7-dimethylpteridine",-0.87078357,-1.02764846,-0.91997581,-1.09464148,-0.53847428,-0.61578177,-0.80398584,-1.17901445,-0.97003191,-0.75497235,-0.76242798,-0.56967973, 1.86989908
"2,4-Imidazolidinedione, 5,5-dimethyl-",-0.48444685,-0.46195892,-0.44961214,-0.11076073, 1.24399921,-0.62688283,-0.35680206,-0.40320750,-0.54180419,-0.63432729,-0.63414264,-0.62621962, 2.10845220
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",-0.702979260,-0.785569513,-0.895843316,-1.608973888, 1.007456672, 0.525854776,-0.530030644,-1.104372374,-0.626829272,-1.598988169,-1.368462337,-1.459462369, 0.319534277
"2,5-di-tert-Butyl-1,4-benzoquinone",-0.239663059,-0.339472288,-0.091393870,-0.036572769, 0.415513767, 0.163144196, 0.172939279,-0.060322294,-0.339464226, 4.763595571, 4.015019037,-0.339391999,-0.338920173
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",-1.27113485,-1.14867734,-0.94645646,-1.34144476,-0.73246108,-0.76568726,-0.88910444,-1.14853577,-1.01690157, 1.16508233, 0.71971868, 0.69572308, 1.33648420
