Metabolite 1,Metabolite 2,Sign
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",beta-Alanine,1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-","Butanoic acid, 3,4-dihydroxy-",-1
"1-Phenanthrenemethanol, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1alpha,4abeta,10aalpha)]-",l-Leucyl-l-valine,1
"1-Propanamine, N,N-diethyl-",D-Ribofuranose,1
1-Tetradecanol,"2-Butenoic acid, 2-hydroxy-",1
1-Tetradecanol,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl",1
1-Tetradecanol,"Hexadecanoic acid, 4-hydroxybutyl ester",1
1-Tetradecanol,Palmitic Acid,1
"2',2,3,6'-Tetramethoxychalcone","2-Butenoic acid, 2-hydroxy-",-1
"2',2,3,6'-Tetramethoxychalcone","beta-D-Galactopyranoside, methyl-, acetate",1
"2',2,3,6'-Tetramethoxychalcone",D-(+)-Galactopyranose,1
"2',2,3,6'-Tetramethoxychalcone",Dodecanamide,1
"2',2,3,6'-Tetramethoxychalcone",Glycolic acid,1
"2',2,3,6'-Tetramethoxychalcone",Monocaprylin,-1
"2',2,3,6'-Tetramethoxychalcone",Pyridoxic acid,1
"2',2,3,6'-Tetramethoxychalcone",Xylazine,1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",2-Ketobutyric acid,1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",3-Oxo-1-cyclohexene-1-carboxylic acid ,1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",4-Hydroxybenzaldehyde,-1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","Guanidine, N,N-dimethyl",1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Hexanedioic acid,1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Isopropyl myristate,1
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Menthol,1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",d-Erythrotetrofuranose,1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",Octadecyl octyl ether,1
"2,3,4-Trihydroxybutyric acid",2-Ethylacetoacetate,1
"2,3,4-Trihydroxybutyric acid","3-Hydroxy-2,3-dihydromaltol",1
"2,3,4-Trihydroxybutyric acid",D-Ribofuranose,-1
"2,3,4-Trihydroxybutyric acid","Erythrono-1,4-lactone",1
"2,3,4-Trihydroxybutyric acid",Ribonic acid,1
"2,3-Butanediol",Pimelic acid,1
"2,3-Dihydroxy-2-methylpropanoic acid",4-Pyridinol,-1
"2,4-Di-tert-butylphenol",4-hydroxycyclohexylacetate,1
"2,4-Di-tert-butylphenol",D-Fucitol,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Di-tert-butyl-4-hydroxyphenol",1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Methyl-2-furoic acid,-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Oxo-1-cyclohexene-1-carboxylic acid ,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Undecene,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",d-Erythrotetrofuranose,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","Guanidine, N,N-dimethyl",1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Pimelic acid,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",Propylamine,1
"2,5-Dimethoxybenzhydrazide",Monolaurin,1
"2,5-Dimethoxymandelic acid",alpha-D-Xylopyranose,-1
"2,5-Dimethoxymandelic acid",l-Leucyl-l-valine,1
"2,5-Dimethoxyphenol","2-Allyl-1,4-dimethoxybenzene ",1
"2,5-Dimethoxyphenol",2-Hydroxy-3-methylbutyric acid,1
"2,5-Dimethoxyphenol","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1
"2,5-Dimethoxyphenol",L-Valyl-L-leucine,1
"2,5-Dimethoxyphenol",Syringaldehyde,1
"2,5-Di-tert-butyl-4-hydroxyphenol",Pimelic acid,1
"2,5-Di-tert-butyl-4-hydroxyphenol",Sinapinic acid,1
"2,6-Di-O-methyl-d-galactopyranose","2-Pentenedioic acid, 2-hydroxy-",-1
"2,6-Di-O-methyl-d-galactopyranose",4-Hydroxybutanoic acid,1
"2,6-Di-O-methyl-d-galactopyranose",Cyclohexanemethanol,1
"2,6-Di-O-methyl-d-galactopyranose",L-Glutamic acid,-1
"2,6-Di-O-methyl-d-galactopyranose",Methylsuccinic acid,-1
"2,6-Di-O-methyl-d-galactopyranose",Pantothenic acid ,-1
"2,6-Di-O-methyl-d-galactopyranose",Syringic acid,1
"2-Allyl-1,4-dimethoxybenzene ",3-Hexenedioic acid,1
"2-Allyl-1,4-dimethoxybenzene ",4-Pyridinol,1
"2-Allyl-1,4-dimethoxybenzene ",Glucopyranose,1
"2-Allyl-1,4-dimethoxybenzene ","Pregn-4-ene-3,20-dione, 16,17-epoxy-, (16alpha)",1
"2-Allyl-1,4-dimethoxybenzene ",Syringaldehyde,1
2-Amino-4-tert-butylphenol,"2-Butenoic acid, 2-hydroxy-",1
2-Amino-4-tert-butylphenol,alpha-Linolenic acid,-1
2-Amino-4-tert-butylphenol,"Pentanoic acid, 4-methyl-2-oxo-",1
2-Aminoadipic acid,"Pentanoic acid, 4-methyl-2-oxo-",-1
2-Aminoadipic acid,Phthalimide,1
2-Aminobutanoic acid,4-Coumaric acid,-1
2-Aminobutanoic acid,Caffeic acid,1
"2-Butenoic acid, 2-hydroxy-",3-Deoxyhexitol,1
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate,1
"2-Butenoic acid, 2-hydroxy-",Dodecanamide,-1
"2-Butenoic acid, 2-hydroxy-","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2-Butenoic acid, 2-hydroxy-","Xylonic acid, delta-lactone",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Cyclohexanecarboxylic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Methyl stearate,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Myristic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Nonadecanoic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Pentanoic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Phthalimide,-1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Pregn-4-ene-3,20-dione, 16,17-epoxy-, (16alpha)",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Propanoic acid, 2-hydroxy-3-phosphate-",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Tetrahydrogeranyl formate,1
2'-Deoxyribolactone,d-Erythrotetrofuranose,1
2'-Deoxyribolactone,Glycerol tricaprylate,1
2'-Deoxyribolactone,"Hexadecanoic acid, ethyl ester",1
2'-Deoxyribolactone,Myristic acid,1
2'-Deoxyribolactone,Trisaminol,1
2'-Desoxyuridine,D-Ribofuranose,1
2'-Desoxyuridine,Glycerol tricaprylate,-1
2'-Desoxyuridine,L-(+)-Lactic acid,-1
2'-Desoxyuridine,Thymidine,1
2-Ethylacetoacetate,8-Hydroxy-5-(hydroxymethyl)quinoline,1
2-Ethylacetoacetate,beta-D-(-)-Ribopyranose,1
2-Ethylacetoacetate,D-Xylose,1
2-Ethylacetoacetate,"Erythrono-1,4-lactone",1
2-Ethylacetoacetate,"Propanoic acid, 2-oxo",1
2-Ethylacetoacetate,Tricine,1
2-Ethylhexanoic acid,D-Mannopyranose,-1
2-Ethylhexanoic acid,Phenol,1
"2-Furanacetaldehyde, tetrahydro-alpha","3-Ethyl-3-methyl-pyrrolidine-2,5-dione",-1
"2-Furanacetaldehyde, tetrahydro-alpha",beta-Arabinopyranose,1
"2-Furanacetaldehyde, tetrahydro-alpha",Dehydroabietic acid,-1
"2-Furanacetaldehyde, tetrahydro-alpha",Idoxuridine ,-1
"2-Furanacetaldehyde, tetrahydro-alpha",Oxalic acid,-1
"2-Furanacetaldehyde, tetrahydro-alpha",Serine,-1
2-Hydroxy-3-methylbutyric acid,2-Octanol,1
2-Hydroxy-3-methylbutyric acid,2-tert-Butyl-4-ethylphenol ,1
2-Hydroxy-3-methylbutyric acid,6-Hydroxyhexanoic acid,1
2-Hydroxy-3-methylbutyric acid,"Benzaldehyde, 2,5-dimethoxy",1
2-Hydroxy-3-methylbutyric acid,Decanoic acid,1
2-Hydroxy-3-methylbutyric acid,Glycerol tricaprylate,1
2-Hydroxy-3-methylbutyric acid,"Hexadecanoic acid, ethyl ester",1
2-Hydroxy-5-methoxybenzaldehyde,Octadecyl octyl ether,1
2-Hydroxy-5-methoxybenzaldehyde,Propanedioic acid,1
2-Ketobutyric acid,3-Undecene,1
2-Ketobutyric acid,4-Hydroxybenzaldehyde,-1
2-Ketobutyric acid,Menthol,1
2-Ketobutyric acid,Monomethyl succinate,1
2-Ketobutyric acid,Pantolactone,1
"2-Methyl-4,6-dinitrophenol","Hexadecanoic acid, ethyl ester",1
"2-Methyl-4,6-dinitrophenol",Isopropyl myristate,1
"2-Methyl-4,6-dinitrophenol",Oxalic acid,1
"2-Methyl-4,6-dinitrophenol",Pentadecanoic acid,1
"2-Methyl-4,6-dinitrophenol",Tripropylene glycol monomethyl ether,1
"2-Methyl-4,6-dinitrophenol",Tyrosine,-1
2-Octanol,Arabinitol,-1
2-Octanol,"Benzaldehyde, 2,5-dimethoxy",1
2-Octanol,Decanoic acid,1
2-Octanol,"Hexadecanoic acid, ethyl ester",1
2-Octanol,Isopropyl palmitate,1
2-Octanol,Itaconic acid,1
2-Octanol,Syringaldehyde,1
2-Palmitoylglycerol,3-Deoxyhexitol,-1
2-Palmitoylglycerol,9-Octadecen-1-ol,-1
"2-Pentenedioic acid, 2-hydroxy-",L-Glutamic acid,1
"2-Pentenedioic acid, 2-hydroxy-",Pantothenic acid ,1
"2-Pentenedioic acid, 2-hydroxy-",Sinapinic acid,-1
2-Pentenedioic acid,4-Methoxyphenol,1
2-Pentenedioic acid,phenoxyethanol,1
2-Piperidinone,5-Aminovaleric acid,1
2-Piperidinone,Anthranilic acid,1
2-Piperidinone,Butanedioic acid,1
2-Piperidinone,N-Acetyl-L-glutamic acid,-1
2-Piperidinone,"Thymine, 1,3-dimethyl-6-hydroxymethyl",-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",3-Oxo-1-cyclohexene-1-carboxylic acid ,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",4-Hydroxybenzaldehyde,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)","9,12-Octadecadienoic acid",1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Isopropyl myristate,-1
2-Pyrrolidinone,"Mannonic acid, gamma-lactone",-1
2-tert-Butyl-4-ethylphenol ,4-hydroxy-3-penten-2-one,1
2-tert-Butyl-4-ethylphenol ,8-Hydroxy-5-(hydroxymethyl)quinoline,-1
2-tert-Butyl-4-ethylphenol ,Arabinitol,1
2-tert-Butyl-4-ethylphenol ,Lignoceric acid,1
2-tert-Butyl-4-ethylphenol ,Phenol,1
2-tert-Butyl-4-ethylphenol ,phenoxyethanol,1
2-tert-Butyl-4-ethylphenol ,Sebacic acid,1
3-(3-Hydroxyphenyl)propanoic acid,4-hydroxycyclohexylacetate,-1
3-(3-Hydroxyphenyl)propanoic acid,Cyclohexanemethanol,1
3-(3-Hydroxyphenyl)propanoic acid,Dodecanamide,-1
3-(3-Hydroxyphenyl)propanoic acid,L-Fucose,1
3-(3-Hydroxyphenyl)propanoic acid,L-Glutamic acid,-1
3-(3-Hydroxyphenyl)propanoic acid,L-Valyl-L-leucine,-1
3-(3-Hydroxyphenyl)propanoic acid,Malic acid,1
3-(3-Hydroxyphenyl)propanoic acid,N-Acetyl-L-glutamic acid,-1
3-(3-Hydroxyphenyl)propanoic acid,Niacin,-1
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",4-hydroxy-3-penten-2-one,1
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",D-Ribofuranose,-1
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",Syringaldehyde,1
"3,5-Dimethylphenol","3-Ethyl-3-methyl-pyrrolidine-2,5-dione",1
"3,5-Dimethylphenol",3-Methyl-2-furoic acid,-1
"3,5-Dimethylphenol","Acetamide, N-(2-butyl)-N-methyl-",1
"3,5-Dimethylphenol",beta-D-(-)-Ribopyranose,-1
"3,5-Dimethylphenol",D-(-)-Ribofuranose,-1
"3,5-Dimethylphenol",D-(+)-Talofuranose,-1
"3,5-Dimethylphenol","Erythrono-1,4-lactone",-1
"3,5-Dimethylphenol",Ethyl alpha-D-glucopyranoside,-1
"3,5-Dimethylphenol","Guanidine, N,N-dimethyl",1
"3,5-Dimethylphenol","Hexadecanoic acid, ethyl ester",1
"3,5-Dimethylphenol",Methylsuccinic acid,-1
"3,5-Dimethylphenol",n-Nonylcyclohexane,1
"3,5-Dimethylphenol",Xylose,-1
3-Amino-2-piperidone,Glycerol tricaprylate,1
3-Buten-2-one,Anthranilic acid,1
3-Buten-2-one,Hydroquinone,1
3-Deoxyhexitol,Phloretic acid,1
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione",5-Hydroxy-2-methylpyridine,1
"3-Ethyl-3-methyl-pyrrolidine-2,5-dione",5-Methyluridine,-1
3-Hexenedioic acid,5-Hydroxymethyl-2-furoic acid,1
3-Hexenedioic acid,beta-Arabinopyranose,1
3-Hexenedioic acid,L-5-Oxoproline,1
3-Hexenedioic acid,L-Valyl-L-leucine,1
3-Hexenedioic acid,Syringaldehyde,1
3-Hydroxybutyric acid,Hexacosanoic acid,1
3-Hydroxyisovaleric acid,trans-Coniferryl alchool,1
3-O-methyl-beta-D-Glucopyranose,5-Hydroxymethyl-2-furoic acid,1
3-O-methyl-beta-D-Glucopyranose,alpha-Ketoisovaleric acid,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,3-Undecene,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,pyrazole,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,4-Hydroxybenzaldehyde,-1
3-Oxo-1-cyclohexene-1-carboxylic acid ,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",1
3-Oxo-1-cyclohexene-1-carboxylic acid ,"Acetamide, N-(2-butyl)-N-methyl-",1
3-Oxo-1-cyclohexene-1-carboxylic acid ,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",1
3-Oxo-1-cyclohexene-1-carboxylic acid ,"Guanidine, N,N-dimethyl",1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Isocitric acid lactone,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Isopropyl palmitate,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Ketamine,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Menthol,1
3-Oxo-1-cyclohexene-1-carboxylic acid ,"N,N-Diethyl-carbamate",1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Phenylalanine,-1
3-Oxo-1-cyclohexene-1-carboxylic acid ,Phthalazin-1-one ,1
