,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124
"(R*,S*)-2,3-Dihydroxybutanoic acid",1903.317693,0,0,2478.264414,2939.053989,26117.24152,4178.436308,3823.476271,0,0,2745.371126,2255.012422,0,0,0,1987.70564,0,0,4628.112683,0,4319.351328,0,2822.302401,39852.54453,0,7905.413595,8712.664406,9661.352868,0,11389.27679,0,12231.38696,10902.41843,11673.85664,12514.621,11623.32239,10242.42654,10748.83674,10749.57239,0,11156.86933,11219.56031,4602.713896,0,13684.68159,0,0,13578.20172,12941.86009,13182.02706,0,14458.94524,15561.86458,11053.30805,15059.09078,15519.136,11067.83282,11125.64925,0,0,0,0,0,0,0,0,0,0,4159.350212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2647.068234,545.201886,0,0,0,879.9283756,0,0,0,0,0,0,0,0,339.6737055,699.5299239,0,2382.585756,3882.209153,2097.699673,0,0,4415.440151,0,0,0,0,180.2891592
"(S,S)-(-)-Hydrobenzoin",255884.3536,215689.1105,0,2221219.39,0,0,105925.0591,210396.7069,251039.4869,208757.9369,193264.5756,0,692901.3634,315902.1581,102474.1441,1553722.115,613699.1798,387654.0671,1377313.853,0,2485658.602,1841477.376,1432521.352,70090.86169,1361477.95,303735.4019,1546090.957,1022995.423,534880.8944,807677.0902,315856.8478,166903.1126,916149.2667,131068.1475,1787794.382,1563317.101,2590450.944,1508217.253,1991938.083,1957459.846,322132.8427,931519.2428,218400.6026,505772.3179,965272.2032,1155513.03,360108.9894,0,654341.0606,238986.393,164858.8843,212854.4192,155982.4502,0,110195.338,173624.7625,488925.7674,822031.1379,269232.6506,563971.9689,848518.6445,1057870.009,184572.8014,380140.8685,330161.5045,373623.267,0,124522.6007,120498.9114,808963.9832,984420.1656,227001.3346,262425.5092,64385.21114,50995.10953,656477.3659,180105.5567,330064.4699,1012827.588,158901.3569,215962.1131,512724.2886,0,778137.525,838509.0735,5169994.066,2300243.096,0,0,1589361.808,0,0,0,0,0,0,0,0,5942860.325,1094304.485,0,0,0,0,0,0,0,0,2379500.371,2453446.237,0,2384904.122,0,0,0,0,0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",54008809.07,4168976.714,500764.2774,183834.7514,44767699.12,2205235.884,3323489.16,54223600.99,288237.1905,5343223.495,667381666.4,931481.2458,274093.2987,409130.7847,258607.6427,326529205.5,2204779.818,381795.5626,371334.8113,1799580.836,344090.9289,319060.2415,33223388.45,149737.0066,21662105.27,24383562.14,7622167.37,6194801.52,1156139.651,735155.1256,0,0,0,6950689.075,1778312.404,3224363.729,17660174.01,14382119.98,4297068.749,4094511.607,85275535.38,38901887.6,3469141.942,0,0,5026224.585,0,0,694243.0613,0,517126.8111,100887320,45668368.82,41068381.98,37143953.3,30449306.72,79710129.16,148624066.3,9523874.974,37745909.37,16226484.42,157460259.3,33445529.43,77483755.19,59971960.08,50607094.31,59816581.27,30567116.58,35946511.03,32020504.59,0,2935151.229,1106151.388,2897209.127,804274.6654,29289791.13,21146442.82,82016891.9,106528465.1,42298800.87,62665553.66,30779402.4,40472051.47,76907230.19,98531418.79,34499545.41,36494776.06,189733117.3,13770121.99,0,34374157.27,21569046.47,23579914.17,26663922.55,16829269.26,32608951.45,243596999,222454001.3,0,0,27322209.27,9843782.846,27841154,1246014.76,17363997.19,8297018.719,0,0,0,0,427367180.5,0,192004333.8,1218250.536,0,3853994.296,6821954.053
"1-(2,4-Dimethoxyphenyl)-propan-2-one",2944231.03,4961256.394,7912459.573,1052519.623,4097029.735,6269056.254,7529536.318,7417944.533,2641147.739,6666593.368,4047918.627,2068732.816,2033892.816,3515446.162,4030486.113,1778282.234,2066716.929,3189439.673,1659746.372,7069685.979,1248233.674,1722684.478,1750173.248,3627992.232,2208329.132,4042386.309,5047985.974,5265422.739,5417909.449,5385328.812,5479547.951,6098442.096,5458546.998,5790785.553,6770822.477,6386364.216,6900461.6,7061168.903,6201860.55,6322613.709,9156631.981,6135141.232,6783470.605,7756293.885,6437457.827,7353893.972,6404941.844,6220800.372,6633652.302,6528943.873,6323558.289,6596052.662,6507215.257,5147334.98,6468796.12,6482494.268,6010038.849,6587184.064,5713795.35,6600179.886,6054993.852,7758964.62,7013671.563,8365832.036,6309102.892,6464044.811,6784928.162,6400127.145,6858065.651,6985386.177,6508868.536,7157934.508,6400709.84,6617824.95,6772194.107,6495729.436,6609801.439,7149559.497,6646895.734,6558474.305,6315235.291,6274434.4,6865708.587,6054871.962,6811488.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716755.0046,0,0
1-(3-Methylphenyl)piperazine,7757.933087,10815.74996,0,32479.33107,0,0,0,0,7392.069854,6718.92745,0,6590.298023,10918.55409,0,0,24344.14732,10876.53501,0,25941.56195,0,39033.65464,35184.69197,21329.7042,8669.607412,31570.403,11253.81121,16610.02341,12780.03171,13197.09111,12195.9471,13339.43858,19160.67174,13834.56249,20337.75026,0,13200.79755,13677.93351,13630.02383,12982.73353,15268.58546,12145.33675,13824.77549,20830.31799,0,0,4330.821751,12541.07355,20074.64761,4382.841311,13323.73669,12481.44682,14222.03444,0,13061.88209,0,13583.0355,18402.641,14144.55339,10893.78903,12095.12123,11310.51471,21221.41355,11531.63557,12360.31552,0,13362.43882,14075.3559,0,24809.4492,13540.36508,11528.59199,11602.55809,15871.43329,12587.86582,22965.85813,20350.70699,19984.931,20283.73055,12686.7173,13764.29528,10714.73538,0,21732.31074,13103.78912,7021.166427,0,0,0,11228.89243,0,18240.29286,0,10583.69715,17138.03265,11109.38388,0,0,12380.21954,0,11373.65537,12270.09366,0,12292.46244,11615.06201,0,16288.67394,12681.78492,13886.11843,10399.46926,0,13536.9458,10760.10092,0,18276.41356,0,14484.78227,6903.089766
1-(4-Hydroxybenzylidene)acetone,0,31730.96701,0,0,0,0,0,0,0,40987.61021,0,0,0,112288.5717,0,0,0,5456.143562,39893.27041,0,0,0,0,0,37890.29769,11266.56043,11978.56389,16587.66632,0,0,0,0,0,0,16190.6013,17254.86712,0,0,0,0,0,0,0,0,0,0,0,46377.67367,73698.41567,0,0,50384.06421,0,0,18129.03774,0,0,29093.31108,47556.87824,0,22480.09832,0,17775.66421,23918.02965,0,0,0,0,0,0,0,0,0,0,48621.14876,22834.08554,0,0,30233.88699,53698.34949,0,0,0,0,19678.4086,0,0,4129.207361,1610.392256,0,9458.652747,0,3069.756674,2926.668572,2500.528426,5971.641097,9201.990936,31637.73433,4644.624998,0,0,4441.830683,8197.053336,2823.993901,6014.200221,7508.183294,5200.118058,6618.416761,13922.96897,6074.993541,33432.35626,0,0,3589.275279,19344.16542,10507.23779,10996.62921
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",202217.3112,235122.5983,291310.5256,41292.66229,153685.906,240080.1394,265111.5669,388140.2766,168242.6679,363562.0927,141994.5192,105955.7052,176041.1452,213606.9579,223729.3615,189584.4378,159722.3667,267634.7824,158401.3319,318571.4502,104580.4456,110727.4588,119590.3947,147562.1278,115839.0932,0,0,0,0,0,0,86549.68207,0,0,131848.7732,0,0,0,0,0,227666.1246,98843.38826,480151.1625,521783.5525,100439.4761,0,74534.03909,88201.0382,501518.2788,0,0,61930.89065,13198.12765,2541.452364,12387.68714,43393.21662,13030.17937,239.4198357,606194.6322,0,720442.8897,8829.096721,0,579169.0493,0,0,0,457726.6489,0,0,534132.8592,201111.9977,781230.7696,0,595859.9193,196857.8992,0,0,0,0,91716.80527,378227.5973,0,99187.66848,202599.5078,550793.4013,475783.8936,471030.0412,50805.78711,349254.4078,0,61195.15867,122247.4405,0,109477.5999,189432.688,556468.1899,516024.7935,514876.9533,522019.4525,845454.3372,240115.3628,137422.2968,73564.65568,0,0,482047.6939,0,588864.0594,831264.6225,805993.8468,639734.027,927194.9402,196848.6534,38387.17823,190994.9578,134851.0188
1-Aminocyclopropanecarboxylic acid,596467805.5,1039918971,400923728.9,2296105889,220816872.1,429828878.5,737959577.9,366697334.3,770608645.7,730905463.1,620381615.7,1126844566,1169149841,883295799.9,347294810.7,2497680384,1499942380,1113646709,2614270946,530669728.2,2765226779,1292914373,2301651207,1100458448,2065432991,82277384.24,85648437.41,97002451.07,99136626.15,107775803.2,105603717.6,106263749.5,101356420,109768643.6,109066500.4,82704467.2,107831376,107050363.7,109691007.2,103376008.3,107567211,98624345.57,127770995.7,94680757.12,111573645.2,114174308.4,92236698.34,103444300.3,105138218.2,102033104.7,90136362.91,100165078.2,113213137.9,107597432,99849812.88,117362496.5,60666400.34,62803534.76,86858143.76,97491972.32,71912106.11,81025391.57,107521651.2,109387389.4,111886685.2,87560270.64,97614085.57,90930079.66,89626368.24,96396691.84,124586967.9,101477674.4,116988392.3,109993657.3,107362131.6,83792793.81,115886552.4,116320893.5,41401483.47,89470449.85,36146951.85,111601301.3,72575067.77,91218542.15,23824595.49,15961189217,10649932027,124793037.7,639644323.7,13361191187,823526286,493155758.3,648290436.5,614378317.4,778767680.8,751034223.4,4178312348,2942488698,8019117217,3683393905,2022493755,517429240.3,259596919.5,345830092.7,662958037.2,843323906.5,15634279856,5166871646,1010814829,147952982.2,1119203240,25725662201,425970966.1,6205837.523,127335498.1,178366827,149726961
"1-Butanamine, N,N-diethyl-",7186639.872,7685439.095,8935855.355,9471546.962,8362608.307,7837845.185,8499472.507,9005186.928,7589343.565,8402130.781,8239134.803,8626721.202,8483352.824,8069691.388,8954001.717,8382491.571,9038562,7596768.072,7701365.482,8671972.848,7635377.068,7131908.05,9125162.791,7864080.366,8652752.086,6037930.583,6217377.264,6545320.327,6549091.491,6868098.137,6717662.02,7133242.499,6637447.915,7093325.454,6892103.773,6898322.49,6794962.14,7059906.707,6824022.32,7047489.593,7173675.835,7856377.898,7843311.088,7718432.527,7760870.389,7385954.798,7558570.224,7776409.501,7501224.249,7658227.124,7370363.209,9579665.191,9535562.35,7547887.934,9694792.915,9487235.018,7558186.714,8362387.439,7232173.465,7634690.248,7628182.194,7448630.232,7420431.955,7448716.705,7569927.75,7469943.761,7911345.292,7728138.079,7560665.521,8710847.067,8024076.118,8116341.328,7768180.915,8584579.853,8100664.381,7990300.5,9787633.902,9416977.867,8083337.025,9801516.941,8085675.534,7895203.709,9776454.016,7691275.291,7831696.233,8518385.414,8488280.047,9634724.504,8470841.916,8799691.868,8803119.664,8731622.399,8422744.069,8542121.796,8665503.741,8858377.381,8955273.876,8458731.58,8371388.51,8747656.482,9481892.184,9905490.997,10191939.85,8495312.17,7923027.066,8482269.221,9319312.746,9500413.321,9346820.28,10336754.47,9451032.507,9696600.63,9556251.847,9420860.957,8964810.148,11419099.65,9742285.943
"1-Cyclohexanone, 3-butyl-3-methyl-",0,27074.70847,0,101348.7086,0,0,0,24184.82326,14451.80538,0,14021.53896,14927.69891,25437.82716,17719.92452,0,62649.52824,42874.81155,24425.93493,98426.18612,0,134785.5803,146385.7756,47543.03871,18757.90126,138595.0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142201.9628,234861.6277,236974.5265,133245.5923,0,215642.9307,135656.7139,243533.9637,228365.931,227677.5389,240274.577,64039.52555,123634.0367,249959.193,210577.2162,213377.4214,0,175117.5109,212343.4612,411.0751591,196.02195,91.46052243,0,185.9328409,0,0,0,0,0,0,19.59841863,72.7296738,163.7636633,223.7973721,0,0,0,0,0,0,144.2199648,45.26913414,102.2860018,272.6877338,29.59518529,177.6935165,140.1127738,0,0,0,0
